"","Dataset","Method","Algorithm","F1","Acc"
"1",1018,"median","log_reg",0.036036036036036,0.939513849632561
"2",1018,"median","svm",0,0.939513849632561
"3",1018,"median","rf",0.018348623853211,0.939513849632561
"5",1590,"median","log_reg",0.901104481401549,0.840515917698843
"6",1590,"median","svm",0.905409762073635,0.849831098372402
"7",1590,"median","rf",0.910885977931213,0.85863445593203
"9",188,"median","log_reg",0.890243902439024,0.878378378378378
"10",188,"median","svm",0.906832298136646,0.898648648648649
"11",188,"median","rf",0.921212121212121,0.912162162162162
"13",23381,"median","log_reg",0.741258741258741,0.63
"14",23381,"median","svm",0.726027397260274,0.6
"15",23381,"median","rf",0.715328467153285,0.61
"17",27,"median","log_reg",0.711111111111111,0.824324324324324
"18",27,"median","svm",0.826086956521739,0.891891891891892
"19",27,"median","rf",0.765957446808511,0.851351351351351
"21",29,"median","log_reg",0.884353741496599,0.876811594202899
"22",29,"median","svm",0.88,0.869565217391304
"23",29,"median","rf",0.881578947368421,0.869565217391304
"25",38,"median","log_reg",0.968858131487889,0.940397350993378
"26",38,"median","svm",0.979388770433546,0.96158940397351
"27",38,"median","rf",0.991501416430595,0.984105960264901
"29",4,"median","log_reg",0.461538461538462,0.416666666666667
"30",4,"median","svm",0.857142857142857,0.916666666666667
"31",4,"median","rf",0.461538461538462,0.416666666666667
"33",40536,"median","log_reg",1,1
"34",40536,"median","svm",1,1
"35",40536,"median","rf",0.999642729546267,0.999403341288783
"37",41278,"median","log_reg",0.887110464411301,0.797211936397299
"38",41278,"median","svm",0.887162367223065,0.797538662600741
"39",41278,"median","rf",0.887021013597033,0.800914833369636
"41",55,"median","log_reg",0.5,0.870967741935484
"42",55,"median","svm",0.571428571428572,0.903225806451613
"43",55,"median","rf",0.5,0.870967741935484
"45",56,"median","log_reg",0.97029702970297,0.96551724137931
"46",56,"median","svm",0.980392156862745,0.977011494252874
"47",56,"median","rf",0.980392156862745,0.977011494252874
"49",944,"median","log_reg",0.774193548387097,0.730769230769231
"50",944,"median","svm",0.733333333333333,0.692307692307692
"51",944,"median","rf",0.758620689655172,0.730769230769231
"53",6332,"median","log_reg",0.634146341463415,0.722222222222222
"54",6332,"median","svm",0.753246753246753,0.824074074074074
"55",6332,"median","rf",0.794871794871795,0.851851851851852
"56",1018,"mice","log_reg",0.036036036036036,0.939513849632561
"57",1018,"mice","svm",0,0.939513849632561
"58",1018,"mice","rf",0.018348623853211,0.939513849632561
"60",1590,"mice","log_reg",0.900177800355601,0.839082812979834
"61",1590,"mice","svm",0.90527531767424,0.848909816767325
"62",1590,"mice","rf",0.910364509015437,0.858532091309244
"64",188,"mice","log_reg",0.888888888888889,0.878378378378378
"65",188,"mice","svm",0.9125,0.905405405405405
"66",188,"mice","rf",0.921212121212121,0.912162162162162
"68",23381,"mice","log_reg",0.72463768115942,0.62
"69",23381,"mice","svm",0.709219858156028,0.59
"70",23381,"mice","rf",0.736111111111111,0.62
"72",27,"mice","log_reg",0.775510204081633,0.851351351351351
"73",27,"mice","svm",0.791666666666667,0.864864864864865
"74",27,"mice","rf",0.739130434782609,0.837837837837838
"76",29,"mice","log_reg",0.876712328767123,0.869565217391304
"77",29,"mice","svm",0.896551724137931,0.891304347826087
"78",29,"mice","rf",0.857142857142857,0.847826086956522
"80",38,"mice","log_reg",0.967608545830462,0.937748344370861
"81",38,"mice","svm",0.966461327857632,0.935099337748344
"82",38,"mice","rf",0.985974754558205,0.973509933774834
"84",40536,"mice","log_reg",1,1
"85",40536,"mice","svm",1,1
"86",40536,"mice","rf",0.998572448251249,0.997613365155131
"88",41278,"mice","log_reg",0.887002909796314,0.796994118928338
"89",41278,"mice","svm",0.887056683843589,0.797103027662819
"90",41278,"mice","rf",0.88733592610598,0.798083206273143
"92",55,"mice","log_reg",0.571428571428572,0.903225806451613
"93",55,"mice","svm",0,0.870967741935484
"94",55,"mice","rf",0.333333333333333,0.870967741935484
"96",56,"mice","log_reg",0.980392156862745,0.977011494252874
"97",56,"mice","svm",0.980392156862745,0.977011494252874
"98",56,"mice","rf",0.97029702970297,0.96551724137931
"100",6332,"mice","log_reg",0.531645569620253,0.657407407407407
"101",6332,"mice","svm",0.666666666666667,0.777777777777778
"102",6332,"mice","rf",0.829268292682927,0.87037037037037
"104",944,"mice","log_reg",0.774193548387097,0.730769230769231
"105",944,"mice","svm",0.733333333333333,0.692307692307692
"106",944,"mice","rf",0.740740740740741,0.730769230769231
"107",1018,"missForest","log_reg",0.036036036036036,0.939513849632561
"108",1018,"missForest","svm",0.018348623853211,0.939513849632561
"109",1018,"missForest","rf",0.0357142857142857,0.938948558507631
"111",1590,"missForest","log_reg",0.90145661811273,0.840720646944416
"112",1590,"missForest","svm",0.906189926951173,0.850138192240762
"113",1590,"missForest","rf",0.910529045643154,0.858736820554816
"115",188,"missForest","log_reg",0.890243902439024,0.878378378378378
"116",188,"missForest","svm",0.893081761006289,0.885135135135135
"117",188,"missForest","rf",0.896969696969697,0.885135135135135
"119",23381,"missForest","log_reg",0.713286713286713,0.59
"120",23381,"missForest","svm",0.76,0.64
"121",23381,"missForest","rf",0.721804511278195,0.63
"123",27,"missForest","log_reg",0.808510638297872,0.878378378378378
"124",27,"missForest","svm",0.782608695652174,0.864864864864865
"125",27,"missForest","rf",0.755555555555556,0.851351351351351
"127",29,"missForest","log_reg",0.868965517241379,0.86231884057971
"128",29,"missForest","svm",0.89041095890411,0.884057971014493
"129",29,"missForest","rf",0.885906040268456,0.876811594202899
"131",38,"missForest","log_reg",0.968901174844506,0.940397350993378
"132",38,"missForest","svm",0.978571428571429,0.960264900662252
"133",38,"missForest","rf",0.991501416430595,0.984105960264901
"135",4,"missForest","log_reg",0.5,0.833333333333333
"136",4,"missForest","svm",0.8,0.916666666666667
"137",4,"missForest","rf",0.5,0.833333333333333
"139",40536,"missForest","log_reg",1,1
"140",40536,"missForest","svm",1,1
"141",40536,"missForest","rf",0.999285714285714,0.998806682577566
"143",41278,"missForest","log_reg",0.887002909796314,0.796994118928338
"144",41278,"missForest","svm",0.887042987934275,0.797103027662819
"145",41278,"missForest","rf",0.888252498172069,0.800261380962753
"147",55,"missForest","log_reg",0.444444444444444,0.838709677419355
"148",55,"missForest","svm",0.571428571428572,0.903225806451613
"149",55,"missForest","rf",0.571428571428572,0.903225806451613
"151",56,"missForest","log_reg",0.980392156862745,0.977011494252874
"152",56,"missForest","svm",0.980392156862745,0.977011494252874
"153",56,"missForest","rf",0.980392156862745,0.977011494252874
"155",6332,"missForest","log_reg",0.545454545454546,0.675925925925926
"156",6332,"missForest","svm",0.701298701298701,0.787037037037037
"157",6332,"missForest","rf",0.759493670886076,0.824074074074074
"159",944,"missForest","log_reg",0.774193548387097,0.730769230769231
"160",944,"missForest","svm",0.8125,0.769230769230769
"161",944,"missForest","rf",0.758620689655172,0.730769230769231
"163",1018,"VIM","log_reg",0.0181818181818182,0.938948558507631
"164",1018,"VIM","svm",0.018348623853211,0.939513849632561
"165",1018,"VIM","rf",0,0.938948558507631
"167",1590,"VIM","log_reg",0.901111463956812,0.84061828232163
"168",1590,"VIM","svm",0.90577157132791,0.849421639881257
"169",1590,"VIM","rf",0.911022405356683,0.858532091309244
"171",188,"VIM","log_reg",0.898203592814371,0.885135135135135
"172",188,"VIM","svm",0.9125,0.905405405405405
"173",188,"VIM","rf",0.91358024691358,0.905405405405405
"175",23381,"VIM","log_reg",0.733812949640288,0.63
"176",23381,"VIM","svm",0.761904761904762,0.65
"177",23381,"VIM","rf",0.711111111111111,0.61
"179",29,"VIM","log_reg",0.876712328767123,0.869565217391304
"180",29,"VIM","svm",0.905405405405405,0.898550724637681
"181",29,"VIM","rf",0.887417218543046,0.876811594202899
"183",38,"VIM","log_reg",0.966136834830684,0.935099337748344
"184",38,"VIM","svm",0.969175627240143,0.943046357615894
"185",38,"VIM","rf",0.98314606741573,0.968211920529801
"187",40536,"VIM","log_reg",1,1
"188",40536,"VIM","svm",1,1
"189",40536,"VIM","rf",0.999642729546267,0.999403341288783
"191",41278,"VIM","log_reg",0.886895381258334,0.796776301459377
"192",41278,"VIM","svm",0.887163309876244,0.79742975386626
"193",41278,"VIM","rf",0.887884157145476,0.800152472228273
"195",55,"VIM","log_reg",0.444444444444444,0.838709677419355
"196",55,"VIM","svm",0.571428571428572,0.903225806451613
"197",55,"VIM","rf",0.5,0.870967741935484
"199",944,"VIM","log_reg",0.774193548387097,0.730769230769231
"200",944,"VIM","svm",0.8125,0.769230769230769
"201",944,"VIM","rf",0.758620689655172,0.730769230769231
"203",188,"softimpute","log_reg",0.902439024390244,0.891891891891892
"204",188,"softimpute","svm",0.906832298136646,0.898648648648649
"205",188,"softimpute","rf",0.858974358974359,0.851351351351351
"207",188,"missmda","log_reg",0.833333333333333,0.824324324324324
"208",188,"missmda","svm",0.853333333333333,0.851351351351351
"209",188,"missmda","rf",0.834437086092715,0.831081081081081
"211",23381,"missmda","log_reg",0.767123287671233,0.66
"212",23381,"missmda","svm",0.736111111111111,0.62
"213",23381,"missmda","rf",0.780821917808219,0.68
"215",27,"softimpute","log_reg",0.723404255319149,0.824324324324324
"216",27,"softimpute","svm",0.790697674418605,0.878378378378378
"217",27,"softimpute","rf",0.765957446808511,0.851351351351351
"219",27,"missmda","log_reg",0.727272727272727,0.837837837837838
"220",27,"missmda","svm",0.739130434782609,0.837837837837838
"221",27,"missmda","rf",0.755555555555556,0.851351351351351
"223",29,"softimpute","log_reg",0.891891891891892,0.884057971014493
"224",29,"softimpute","svm",0.89041095890411,0.884057971014493
"225",29,"softimpute","rf",0.876712328767123,0.869565217391304
"227",29,"missmda","log_reg",0.876712328767123,0.869565217391304
"228",29,"missmda","svm",0.857142857142857,0.855072463768116
"229",29,"missmda","rf",0.88,0.869565217391304
"231",38,"softimpute","log_reg",0.973084886128364,0.948344370860927
"232",38,"softimpute","svm",0.977713874910137,0.958940397350993
"233",38,"softimpute","rf",0.99078667611623,0.982781456953642
"235",4,"softimpute","log_reg",0.857142857142857,0.916666666666667
