"","surgery","Age","rectal_temperature","pulse","respiratory_rate","temp_extremities","peripheral_pulse","mucous_membranes","capillary_refill_time","pain","peristalsis","abdominal_distension","nasogastric_tube","nasogastric_reflux","rectal_examination","abdomen","packed_cell_volume","total_protein","outcome","surgical_lesion"
"323","yes","adult",38.4,84,30,"cool","normal","bright red",">=3","intermittent severe pain","hypomotile","moderate","slight","<1l","absent","distended small intestine",47,7.5,"died","yes"
"166","yes","adult",38.3,40,18,"normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","increased","normal",43,5.9,"lived","no"
"128","yes","adult",37.4,84,20,"cool","normal","pale pink","<3","depressed","hypomotile","moderate","slight","none","absent","distended large intestine",31,61,"euthanized","no"
"298","yes","adult",36.5,100,24,"cool","reduced","pale pink","<3","intermittent mild pain","hypomotile","moderate","significant","none","absent","distended small intestine",50,6,"lived","yes"
"269","yes","adult",39.3,64,90,"warm","reduced","normal pink","<3","intermittent mild pain","hypomotile","none","none",">1l","normal","distended large intestine",39,6.7,"lived","yes"
"186","yes","adult",39.3,64,90,"warm","reduced","normal pink","<3","intermittent mild pain","hypomotile","none","none",">1l","absent","distended large intestine",39,6.7,"lived","yes"
"306","no","adult",38.4,80,60,"cool","increased","bright pink","<3","intermittent mild pain","normal","none","slight",">1l","normal","normal",54,6.9,"lived","no"
"84","yes","adult",37.8,60,80,"normal","reduced","bright pink",">=3","depressed","hypomotile","moderate","slight",">1l","absent","distended large intestine",40,4.5,"lived","yes"
"276","yes","adult",38,36,16,"cool","normal","normal pink","<3","intermittent severe pain","normal","slight","significant","<1l","decreased","distended large intestine",37,75,"euthanized","no"
"329","no","adult",37.7,40,18,"normal","normal","normal pink","<3","intermittent mild pain","normal","none","none","none","decreased","firm feces in large intestine",36,3.5,"lived","no"
"262","no","young",38.6,88,28,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",35,5.9,"lived","no"
"328","yes","adult",38.2,60,24,"normal","normal","pale pink","<3","depressed","hypermotile","none","none","none","absent","distended small intestine",43,6.2,"lived","yes"
"78","yes","adult",38.1,60,24,"cool","reduced","pale pink","meaning unknown","continuous severe pain","hypomotile","moderate","significant",">1l","absent","distended large intestine",46,5.9,"died","yes"
"212","yes","young",38.9,120,30,"normal","reduced","bright pink",">=3","intermittent mild pain","hypomotile","moderate","significant","none","absent","distended large intestine",47,6.3,"lived","no"
"36","no","adult",38.3,112,16,"cool","reduced","bright red",">=3","intermittent mild pain","hypomotile","none","none",">1l","absent","distended large intestine",51,6,"euthanized","no"
"104","yes","adult",37.8,52,24,"normal","reduced","pale pink","<3","intermittent severe pain","absent","none","slight","<1l","increased","distended large intestine",48,6.6,"died","yes"
"216","no","adult",38.1,60,24,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",44,7.5,"lived","no"
"164","yes","adult",38.7,76,24,"normal","normal","bright red",">=3","intermittent mild pain","hypomotile","slight","slight",">1l","absent","distended small intestine",50,8,"lived","yes"
"289","yes","adult",38,50,36,"cool","normal","normal pink","<3","intermittent mild pain","normal","slight","slight","none","decreased","distended large intestine",39,6.6,"lived","yes"
"88","no","adult",39,64,40,"normal","normal","bright red","<3","intermittent mild pain","hypomotile","slight","slight","none","decreased","firm feces in large intestine",42,7.5,"lived","no"
"288","yes","adult",38.1,60,24,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",44,7.5,"lived","yes"
"339","no","adult",38.2,42,16,"normal","normal","pale pink","<3","alert no pain","hypomotile","none","slight","none","normal","distended large intestine",35,60,"lived","no"
"325","no","adult",38.7,52,24,"normal","normal","normal pink","<3","alert no pain","hypomotile","none","slight","none","normal","firm feces in large intestine",4,74,"lived","no"
"358","yes","adult",36.6,48,16,"cool","normal","pale pink","<3","intermittent severe pain","hypermotile","none","none","none","absent","distended large intestine",27,56,"euthanized","yes"
"41","no","young",39,150,72,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",47,8.5,"lived","yes"
"110","yes","adult",38.1,70,16,"cool","absent","bright red",">=3","depressed","hypomotile","slight","slight","none","absent","distended large intestine",60,7.5,"died","yes"
"19","no","adult",39.4,110,35,"cold","reduced","dark cyanotic","<3","intermittent mild pain","hypomotile","moderate","slight","none","absent","distended large intestine",55,8.7,"lived","no"
"43","yes","adult",38.1,120,24,"cool","absent","pale cyanotic","<3","intermittent severe pain","absent","severe","none","none","absent","distended large intestine",52,67,"euthanized","yes"
"69","no","adult",38,48,12,"normal","normal","normal pink","<3","alert no pain","hypomotile","none","none","none","decreased","other",42,6.3,"lived","no"
"120","yes","adult",39.4,54,66,"normal","normal","bright pink","<3","depressed","hypomotile","slight","none","none","decreased","distended small intestine",39,6,"lived","yes"
"39","yes","young",39.2,146,96,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",44,7.5,"died","yes"
"171","no","adult",39,86,16,"cool","reduced","bright red","<3","intermittent mild pain","hypomotile","moderate","slight",">1l","absent","distended large intestine",68,5.8,"died","yes"
"24","yes","adult",38.1,60,12,"cool","reduced","pale pink","<3","intermittent mild pain","absent","moderate","significant",">1l","absent","distended large intestine",51,65,"lived","yes"
"247","yes","adult",38.1,88,24,"cool","reduced","pale cyanotic","<3","continuous severe pain","absent","moderate","slight","none","decreased","distended small intestine",41,4.6,"died","yes"
"197","no","adult",38.5,96,36,"cool","reduced","normal pink",">=3","depressed","absent","slight","none",">1l","absent","distended large intestine",70,8.5,"died","yes"
"38","no","adult",38.6,52,24,"normal","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","none","none","normal","firm feces in large intestine",32,6.6,"lived","no"
"297","yes","adult",37.5,72,30,"cold","reduced","pale cyanotic","<3","intermittent severe pain","absent","moderate","slight","none","decreased","distended large intestine",60,6.8,"died","yes"
"279","no","adult",38.2,56,40,"cold","reduced","normal pink","<3","depressed","absent","moderate","slight",">1l","absent","distended large intestine",47,7.2,"lived","no"
"159","no","adult",38.1,60,12,"normal","normal","bright pink","<3","depressed","hypermotile","slight","significant","none","normal","firm feces in large intestine",44,7.5,"lived","no"
"13","no","young",38,92,28,"normal","normal","bright pink","<3","alert no pain","hypomotile","slight","significant","none","normal","normal",37,6.1,"died","no"
"129","yes","adult",38.4,49,24,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",44,7.6,"lived","yes"
"44","yes","adult",35.4,140,24,"cool","reduced","pale cyanotic",">=3","intermittent severe pain","absent","none","slight","none","absent","distended large intestine",57,69,"euthanized","yes"
"21","no","adult",38.4,48,16,"normal","normal","normal pink","<3","alert no pain","hypomotile","none","slight","<1l","absent","firm feces in large intestine",49,6.8,"lived","no"
"205","no","adult",38.5,100,24,"cool","reduced","bright red",">=3","intermittent severe pain","hypomotile","severe","slight","none","absent","distended large intestine",44,7.5,"euthanized","no"
"229","yes","young",38.5,120,70,"cool","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","normal","distended large intestine",35,54,"lived","yes"
"192","yes","adult",38.2,48,18,"normal","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","none",">1l","absent","distended large intestine",48,74,"lived","yes"
"103","yes","young",38,140,68,"normal","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","slight","none","increased","normal",39,5.3,"lived","yes"
"254","yes","adult",38.1,80,24,"cool","reduced","pale pink","<3","intermittent severe pain","absent","severe","slight","none","absent","distended large intestine",43,70,"lived","yes"
"321","yes","adult",38.3,80,24,"cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","moderate","slight","none","absent","distended small intestine",45,7.5,"lived","yes"
"102","no","adult",38.3,40,16,"cool","normal","normal pink","<3","depressed","hypomotile","none","slight","none","absent","distended large intestine",37,57,"lived","no"
"12","yes","adult",37.2,42,12,"warm","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","significant","none","absent","distended large intestine",44,7,"lived","no"
"295","yes","adult",38.1,120,70,"cold","normal","pale cyanotic",">=3","depressed","absent","none","slight","none","absent","distended large intestine",55,65,"euthanized","no"
"351","yes","young",38.2,78,60,"cold","absent","dark cyanotic","<3","intermittent mild pain","hypomotile","moderate","slight","none","normal","distended large intestine",59,5.8,"died","yes"
"175","yes","adult",38.1,60,24,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",44,7.5,"lived","yes"
"278","no","adult",37.8,40,16,"normal","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","normal","normal",37,6.8,"lived","no"
"109","yes","young",38.4,84,40,"cool","reduced","bright pink","<3","intermittent mild pain","hypomotile","moderate","none","none","absent","distended large intestine",36,6.6,"died","yes"
"83","yes","adult",38,60,24,"cool","reduced","dark cyanotic",">=3","continuous severe pain","hypomotile","severe","none","none","absent","distended large intestine",68,7.8,"died","yes"
"28","yes","adult",38.1,60,24,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",44,7.5,"died","no"
"140","yes","adult",38.1,44,9,"cool","normal","normal pink","<3","depressed","normal","none","none","none","absent","distended large intestine",31,7.3,"lived","no"
"251","no","adult",36.6,42,18,"cool","reduced","bright pink","<3","alert no pain","absent","none","none","none","absent","distended large intestine",52,7.1,"died","yes"
"220","yes","adult",39.2,88,58,"cold","absent","normal pink",">=3","continuous severe pain","absent","none","slight","none","absent","distended large intestine",44,7.5,"euthanized","no"
