"","handicapped.infants","water.project.cost.sharing","adoption.of.the.budget.resolution","physician.fee.freeze","el.salvador.aid","religious.groups.in.schools","anti.satellite.test.ban","aid.to.nicaraguan.contras","mx.missile","immigration","synfuels.corporation.cutback","education.spending","superfund.right.to.sue","crime","duty.free.exports","export.administration.act.south.africa","Class"
"323","y","y","y","n","y","y","n","y","y","y","n","n","y","y","n","y","democrat"
"166","y","n","y","y","y","y","y","y","n","y","n","y","n","y","y","y","republican"
"128","n","n","y","n","n","y","n","y","n","y","y","n","n","n","y","y","democrat"
"417","y","y","y","n","n","n","y","y","y","y","y","n","y","n","n","y","democrat"
"298","n","y","n","n","n","n","y","y","y","y","y","n","n","n","y","y","democrat"
"269","y","n","y","n","n","n","y","y","y","n","n","n","n","n","n","y","democrat"
"186","n","y","y","n","n","n","y","y","y","y","y","n","n","n","y","y","democrat"
"306","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n","republican"
"84","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n","republican"
"276","n","n","n","y","y","y","n","n","n","n","n","y","y","y","y","n","republican"
"361","y","n","y","n","y","y","y","n","y","y","n","n","y","y","n","y","democrat"
"329","y","n","y","n","n","y","y","y","y","y","n","n","n","n","y","y","democrat"
"262","y","n","y","n","n","n","y","y","y","y","n","n","y","n","y","y","democrat"
"328","y","y","y","n","n","n","y","y","y","n","y","n","n","n","n","y","democrat"
"78","y","y","y","n","y","y","n","n","n","y","y","n","y","y","n","y","democrat"
"212","n","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y","democrat"
"36","y","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y","republican"
"104","n","n","y","n","n","y","y","y","y","y","n","n","y","y","n","y","democrat"
"216","y","y","y","n","y","y","n","n","y","y","n","n","n","y","y","y","democrat"
"365","n","y","n","n","y","y","n","n","n","y","y","n","y","y","n","n","democrat"
"164","y","y","n","n","y","y","n","n","n","y","y","y","y","y","n","y","democrat"
"289","y","y","y","n","y","y","n","y","n","y","y","n","y","y","n","y","democrat"
"424","n","y","y","n","n","y","y","y","y","y","y","n","y","y","y","y","democrat"
"381","y","y","y","n","y","y","y","y","y","y","y","n","y","y","n","y","democrat"
"88","n","y","y","n","y","y","y","n","y","y","y","n","y","y","n","y","democrat"
"288","y","y","y","n","y","y","n","y","n","y","y","n","y","y","y","y","democrat"
"339","y","n","n","y","y","y","n","n","n","n","y","y","y","y","n","n","republican"
"325","n","y","n","n","y","y","n","n","y","n","n","y","y","y","n","y","democrat"
"423","n","y","y","n","n","y","y","y","y","n","y","n","n","y","y","y","democrat"
"41","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y","democrat"
"110","n","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y","democrat"
"403","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n","republican"
