"","gq","gqtypeg","farm","ownershg","value","rent","ftotinc","nfams","ncouples","nmothers","nfathers","momloc","stepmom","momrule","poploc","steppop","poprule","sploc","sprule","famsize","nchild","nchlt5","famunit","eldch","yngch","nsibs","relateg","age","sex","raceg","marst","chborn","school","educrec","schltype","empstatg","labforce","occscore","sei","classwkg","wkswork2","hrswork2","yrlastwk","workedyr","inctot","incwage","incbus","incfarm","incss","incwelfr","incother","poverty","migrat5g","movedin","vetstat","binaryClass"
"1016","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,462,35000,"5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3",99,99,"0","Partner_friend_visitor",31,"Male","Other_Asian_or_Pacific","Never_married_single","2__children","Yes_in_school","1_to_3_years_of_college","Public_school","Not_in_labor_force","No_not_in_labor_force",26,19,"Self-employed","1-13_weeks","40_hours","Worked_previous_yr","Yes",2000,0,2000,"0",0,0,0,31,"Same_house","0","No_Service","P"
"8003","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,675,47672,"1","1","1","1","2","0","1","1","0","1","0","0","6","0","0","1",99,99,"3","Child",18,"Male","Chinese","Never_married_single","1_child","Yes_in_school","Grade_12","Public_school","Not_in_labor_force","No_not_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","No",0,0,0,"0",0,0,0,269,"Moved_place_not_reported","0","No_Service","P"
"4774","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",225000,0,67659,"1","1","1","1","0","0","0","0","0","0","1","1","3","1","0","1",19,19,"0","Spouse",42,"Female","White","Married_spouse_present","3","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",30,44,"Works_for_wages_salary","50-52_weeks","30-34_hours","Never_worked","Yes",30900,30000,0,"0",0,0,0,501,"Same_house","0","No_Service","P"
"8461","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",4e+05,0,80752,"1","1","1","2","0","0","0","0","0","0","1","1","4","1","0","1",50,50,"0","Spouse",76,"Female","White","Married_spouse_present","2__children","No_not_in_school","Grade_12","Not_enrolled","Not_in_labor_force","No_not_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","60+_hours","Worked_more_than_10_yrs_ago","No",4018,0,0,"0",4018,0,0,501,"Moved_place_not_reported","0","No_Service","P"
"4049","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,625,24400,"1","0","1","0","3","0","1","0","0","0","0","0","8","0","0","1",99,99,"3","Sibling",30,"Female","White","Never_married_single","3","No_not_in_school","Grade_9","Not_enrolled","Employed","Yes_in_labor_force",35,63,"Works_for_wages_salary","48-49_weeks","40_hours","Worked_current_yr","Yes",8600,8600,0,"0",0,0,0,110,"Moved_place_not_reported","0","No_Service","P"
"8788","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",4e+05,0,130000,"1","1","1","1","0","0","0","0","0","0","2","1","4","2","0","1",11,8,"0","Head_Householder",39,"Male","White","Married_spouse_present","4","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",42,78,"Self-employed","50-52_weeks","40_hours","Worked_more_than_10_yrs_ago","Yes",125000,120000,0,"0",0,0,0,501,"Moved_place_not_reported","2","No_Service","P"
"1300","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,875,44960,"1","1","1","1","2","0","1","1","0","1","0","0","11","0","0","1",99,99,"6","Child",12,"Male","White","Never_married_single","No_children","Yes_in_school","Grade_5-8","Public_school","Not_in_labor_force","No_not_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","15-29_hours","Worked_previous_yr","Yes",0,999999,999999,"999999",99999,99999,99999,180,"Moved_place_not_reported","0","No_Service","P"
"8521","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,437,25947,"1","1","1","1","0","0","0","0","0","0","1","1","4","2","0","1",18,14,"0","Spouse",42,"Female","White","Married_spouse_present","2__children","No_not_in_school","Grade_12","Not_enrolled","Not_in_labor_force","No_not_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","15-29_hours","Never_worked","No",0,0,0,"0",0,0,0,200,"Same_house","0","No_Service","P"
"1798","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,675,10000,"1","1","1","1","0","0","0","0","0","0","1","1","4","2","1","1",6,2,"0","Spouse",30,"Female","White","Married_spouse_present","2__children","No_not_in_school","Grade_12","Not_enrolled","Not_in_labor_force","No_not_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","15-29_hours","Never_worked","No",0,0,0,"0",0,0,0,80,"Moved_place_not_reported","0","No_Service","P"
"8228","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",350000,0,107000,"1","1","1","1","2","0","1","1","0","1","0","0","4","0","0","1",99,99,"1","Child",4,"Female","White","Never_married_single","5","Yes_in_school","None_or_preschool","Private_school_(19601990)","Not_in_labor_force","Yes_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_2_yrs_prior","Yes",0,999999,999999,"999999",99999,99999,99999,501,"Same_house","0","No_Service","P"
