"","Sex","Age","Debt","Married","BankCustomer","EducationLevel","Ethicity","Years_employed","PriorDefault","Employed","CreditScore","Driverslicense","Citizen","Zipcode","Income","class"
"642","b",31.58,0.75,"y","p","aa","v",3.5,"f","f",0,"t","g",320,0,"-"
"310","a",24.83,4.5,"u","g","w","v",1,"f","f",0,"t","g",360,6,"-"
"592","b",23.17,0,"u",NA,"j","v",0,"f","f",0,"f","p",120,0,"+"
"60","b",56.75,12.25,"u","g","m","v",1.25,"t","t",4,"t","g",200,0,"+"
"561","b",26.75,1.125,"u","g","x","h",1.25,"t","f",0,"f","g",0,5298,"+"
"251","b",41.42,5,"u","g","q","h",5,"t","t",6,"t","g",470,0,"+"
"193","b",22.67,1.585,"y","p","w","v",3.085,"t","t",6,"f","g",80,0,"+"
"71","b",34.83,4,"u","g","d","bb",12.5,"t","f",0,"t","g",380,0,"-"
"305","b",48.75,26.335,"y","p","ff","ff",0,"t","f",0,"t","g",0,0,"-"
"570","b",59.5,2.75,"u","g","w","v",1.75,"t","t",5,"t","g",60,58,"+"
"342","b",26.92,2.25,"u","g","i","bb",0.5,"f","f",0,"t","g",640,4000,"-"
"107","a",25,11,"y","p","aa","v",4.5,"t","f",0,"f","g",120,0,"-"
"532","b",43.17,2.25,"u","g","i","bb",0.75,"t","f",0,"f","g",560,0,"-"
"364","b",24.42,2,"u","g","e","dd",0.165,"f","t",2,"f","g",320,1300,"-"
"253","b",23.17,11.125,"u","g","x","h",0.46,"t","t",1,"f","g",100,0,"+"
"261","a",52.17,0,"y","p","ff","ff",0,"f","f",0,"f","g",0,0,"-"
"29","b",42.08,1.04,"u","g","w","v",5,"t","t",6,"t","g",500,10000,"+"
"534","b",31.83,2.5,"u","g","aa","v",7.5,"t","f",0,"t","g",523,0,"-"
"268","b",59.67,1.54,"u","g","q","v",0.125,"t","f",0,"t","g",260,0,"+"
"536","a",24.92,1.25,"u","g","ff","ff",0,"t","f",0,"f","g",80,0,"-"
"660","b",22.25,9,"u","g","aa","v",0.085,"f","f",0,"f","g",0,0,"-"
"144","b",27.25,1.665,"u","g","cc","h",5.085,"t","t",9,"f","g",399,827,"+"
"423","b",26.17,0.835,"u","g","cc","v",1.165,"f","f",0,"f","g",100,0,"-"
"256","b",20,11.045,"u","g","c","v",2,"f","f",0,"t","g",136,0,"-"
"491","b",24.17,0.875,"u","g","q","v",4.625,"t","t",2,"t","g",520,2000,"+"
"250","b",40.25,21.5,"u","g","e","z",20,"t","t",11,"f","g",0,1200,"+"
"86","b",49.5,0.375,"u","g","d","v",0.875,"t","f",0,"t","s",928,0,"-"
"545","b",44.25,11,"y","p","d","v",1.5,"t","f",0,"f","s",0,0,"-"
"356","b",41.17,1.335,"u","g","d","v",0.165,"f","f",0,"f","g",168,0,"-"
"551","b",51.33,10,"u","g","i","bb",0,"t","t",11,"f","g",0,1249,"+"
"289","a",21.75,1.75,"y","p","j","j",0,"f","f",0,"f","g",160,0,"-"
"153","b",23.08,2.5,"u","g","c","v",1.085,"t","t",11,"t","g",60,2184,"+"
"579","b",39.08,6,"u","g","m","v",1.29,"t","t",5,"t","g",108,1097,"+"
"242","b",28.33,5,"u","g","w","v",11,"t","f",0,"t","g",70,0,"+"
"281","b",23.92,0.585,"y","p","cc","h",0.125,"f","f",0,"f","g",240,1,"-"
"508","a",30.67,12,"u","g","c","v",2,"t","t",1,"f","g",220,19,"+"
"2","a",24.5,0.5,"u","g","q","h",1.5,"t","f",0,"f","g",280,824,"+"
"271","b",32.33,2.5,"u","g","c","v",1.25,"f","f",0,"t","g",280,0,"-"
"279","b",16.25,0.835,"u","g","m","v",0.085,"t","f",0,"f","s",200,0,"-"
"232","b",33.5,1.75,"u","g","x","h",4.5,"t","t",4,"t","g",253,857,"+"
"598","a",20.08,0.125,"u","g","q","v",1,"f","t",1,"f","g",240,768,"+"
"280","b",21.17,0.875,"y","p","c","h",0.25,"f","f",0,"f","g",280,204,"-"
"198","b",27.58,2.04,"y","p","aa","v",2,"t","t",3,"t","g",370,560,"+"
"221","b",65.42,11,"u","g","e","z",20,"t","t",7,"t","g",22,0,"+"
"563","b",24.42,12.335,"u","g","q","h",1.585,"t","f",0,"t","g",120,0,"+"
"315","b",23,0.75,"u","g","m","v",0.5,"t","f",0,"t","s",320,0,"-"
"128","b",34.42,4.25,"u","g","i","bb",3.25,"t","t",2,"f","g",274,610,"+"
"50","a",25.75,0.5,"u","g","c","h",0.875,"t","f",0,"t","g",491,0,"+"
"564","b",42.17,5.04,"u","g","q","h",12.75,"t","f",0,"t","g",92,0,"+"
"69","b",35.17,25.125,"u","g","x","h",1.625,"t","t",1,"t","g",515,500,"+"
"170","a",25.08,2.54,"y","p","aa","v",0.25,"t","f",0,"t","g",370,0,"+"
"474","b",20.67,0.415,"u","g","c","v",0.125,"f","f",0,"f","g",0,44,"-"
"481","b",23.5,3.165,"y","p","k","v",0.415,"f","t",1,"t","g",280,80,"-"
"145","b",32.83,2.5,"u","g","cc","h",2.75,"t","t",6,"f","g",160,2072,"+"
"37","a",23,11.75,"u","g","x","h",0.5,"t","t",2,"t","g",300,551,"+"
"571","b",21,3,"y","p","d","v",1.085,"t","t",8,"t","g",160,1,"+"
"473","b",19.17,4,"y","p","i","v",1,"f","f",0,"t","g",360,1000,"-"
"530","a",25.33,2.085,"u","g","c","h",2.75,"t","f",0,"t","g",360,1,"-"
"150","a",46.67,0.46,"u","g","cc","h",0.415,"t","t",11,"t","g",440,6,"+"
"677","b",19.42,7.25,"u","g","m","v",0.04,"f","t",1,"f","g",100,1,"-"
"346","b",32.25,1.5,"u","g","c","v",0.25,"f","f",0,"t","g",372,122,"-"
"413","b",40.58,1.5,"u","g","i","bb",0,"f","f",0,"f","s",300,0,"-"
"321","a",18.08,0.375,"l","gg","cc","ff",10,"f","f",0,"t","s",300,0,"+"
"383","a",56.83,4.25,"y","p","ff","ff",5,"f","f",0,"t","g",0,4,"-"
"176","b",25,12.5,"u","g","aa","v",3,"t","f",0,"t","s",20,0,"+"
"124","a",23.5,9,"u","g","q","v",8.5,"t","t",5,"t","g",120,0,"+"
"257","b",20,0,"u","g","d","v",0.5,"f","f",0,"f","g",144,0,"-"
"52","b",37.42,2.04,"u","g","w","v",0.04,"t","f",0,"t","g",400,5800,"+"
"108","b",40.92,2.25,"y","p","x","h",10,"t","f",0,"t","g",176,0,"-"
"471","b",21.08,4.125,"y","p","i","h",0.04,"f","f",0,"f","g",140,100,"-"
"679","a",20.08,1.25,"u","g","c","v",0,"f","f",0,"f","g",0,0,"-"
"433","b",25.25,1,"u","g","aa","v",0.5,"f","f",0,"f","g",200,0,"-"
"199","b",22.58,10.04,"u","g","x","v",0.04,"t","t",9,"f","g",60,396,"+"
"63","a",20.42,0.835,"u","g","q","v",1.585,"t","t",1,"f","g",0,0,"+"
"131","b",20.42,1.835,"u","g","c","v",2.25,"t","t",1,"f","g",100,150,"+"
"158","b",28,2,"u","g","k","h",4.165,"t","t",2,"t","g",181,0,"+"
"649","a",35.17,3.75,"u","g","ff","ff",0,"f","t",6,"f","g",0,200,"-"
"39","b",54.58,9.415,"u","g","ff","ff",14.415,"t","t",11,"t","g",30,300,"+"
"543","b",36.33,3.79,"u","g","w","v",1.165,"t","f",0,"t","g",200,0,"-"
"458","b",36.17,5.5,"u","g","i","bb",5,"f","f",0,"f","g",210,687,"-"
"106","b",28.75,1.165,"u","g","k","v",0.5,"t","f",0,"f","s",280,0,"-"
"16","b",28.25,0.875,"u","g","m","v",0.96,"t","t",3,"t","g",396,0,"+"
"275","b",18.58,5.71,"u","g","d","v",0.54,"f","f",0,"f","g",120,0,"-"
"577","b",25.17,6,"u","g","c","v",1,"t","t",3,"f","g",0,0,"+"
"464","a",23,1.835,"u","g","j","j",0,"f","t",1,"f","g",200,53,"-"
"178","a",18.42,9.25,"u","g","q","v",1.21,"t","t",4,"f","g",60,540,"+"
"380","b",43.17,5,"u","g","i","bb",2.25,"f","f",0,"t","g",141,0,"-"
"477","b",39.17,2.5,"y","p","i","h",10,"f","f",0,"t","s",200,0,"-"
"345","b",62.75,7,"u","g","e","z",0,"f","f",0,"f","g",0,12,"-"
"96","b",23,0.625,"y","p","aa","v",0.125,"t","f",0,"f","g",180,1,"-"
"506","a",18.92,9,"u","g","aa","v",0.75,"t","t",2,"f","g",88,591,"+"
"425","b",24.58,1.25,"u","g","c","v",0.25,"f","f",0,"f","g",110,0,"-"
"334","b",34.75,2.5,"u","g","cc","bb",0.5,"f","f",0,"f","g",348,0,"-"
"549","b",48.33,12,"u","g","m","v",16,"t","f",0,"f","s",110,0,"+"
"33","a",36.75,5.125,"u","g","e","v",5,"t","f",0,"t","g",0,4000,"+"
"397","a",23.58,0.585,"y","p","ff","ff",0.125,"f","f",0,"f","g",120,87,"-"
"455","b",36.17,18.125,"u","g","w","v",0.085,"f","f",0,"f","g",320,3552,"-"
"615","b",29.42,1.25,"u","g","c","h",0.25,"f","t",2,"t","g",400,108,"-"
"490","a",47.25,0.75,"u","g","q","h",2.75,"t","t",1,"f","g",333,892,"+"
