"","Style","Price","Rating","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern","Class"
"323","casual","low",5,"free","spring","v-neck","full","natural","cotton","worsted","sequined","solid","2"
"166","sexy","medium",5,"m","winter","o-neck","sleevless","empire","polyster","chiffon","bow","solid","1"
"128","party","average",4.4,"free","autumn","v-neck","threequarter","natural","cotton","worsted","lace","solid","1"
"417","bohemian","low",4.6,"free","summer","v-neck","sleevless","natural","cotton","broadcloth","beading","solid","1"
"470","sexy","average",4.7951909090909,"s","summer","v-neck","sleevless","empire","cotton","chiffon","sequined","solid","2"
"298","casual","average",4.4,"free","summer","slash-neck","sleevless","empire","cotton","corduroy","lace","solid","2"
"269","party","high",4.6,"l","spring","slash-neck","sleevless","empire","silk","chiffon","beading","solid","1"
"465","party","average",4.9,"m","winter","o-neck","halfsleeve","natural","cotton","broadcloth","lace","solid","2"
"186","casual","low",4.61748181818182,"free","winter","o-neck","full","natural","cotton","worsted","applique","patchwork","1"
"306","work","average",4.9,"m","summer","sqare-collor","halfsleeve","empire","polyster","sattin","sashes","solid","1"
"480","casual","low",4.4,"free","summer","o-neck","full","natural","cotton","jersey","pockets","solid","1"
"84","casual","average",4.05206666666667,"free","winter","o-neck","halfsleeve","empire","polyster","chiffon","hollowout","solid","1"
"276","party","very-high",4.1,"m","winter","scoop","short","natural","cotton","lace","applique","solid","2"
"361","cute","average",4.7,"m","summer","o-neck","sleevless","natural","chiffonfabric","chiffon","sashes","splice","1"
"437","sexy","low",4.4,"free","summer","bowneck","sleevless","natural","viscos","chiffon","bow","solid","1"
"329","cute","average",4.3,"m","summer","o-neck","short","natural","cotton","chiffon","rivet","solid","1"
"262","party","average",4.8,"free","winter","o-neck","sleevless","empire","polyster","chiffon","embroidary","print","2"
"328","casual","low",5,"m","spring","o-neck","sleeevless","natural","chiffonfabric","chiffon","bow","solid","2"
"78","casual","average",4.7783,"free","spring","o-neck","sleevless","natural","chiffonfabric","chiffon","sequined","solid","1"
"212","casual","average",4.3,"free","summer","o-neck","sleevless","natural","cotton","worsted","lace","striped","1"
"36","vintage","average",4.6,"free","winter","o-neck","full","natural","mix","chiffon","embroidary","print","2"
"104","work","medium",4.6,"l","winter","sqare-collor","short","empire","cotton","chiffon","tiered","solid","1"
"216","sexy","low",4.3,"m","autumn","open","short","natural","lace","poplin","lace","print","1"
"365","brief","average",4.8,"free","winter","v-neck","halfsleeve","natural","polyster","broadcloth","lace","solid","1"
"164","cute","average",4.75708333333333,"xl","spring","boat-neck","full","natural","cotton","worsted","applique","dot","2"
"289","party","medium",4.8,"m","spring","o-neck","sleevless","natural","silk","chiffon","crystal","solid","2"
"486","casual","average",4.55176082251082,"free","winter","o-neck","short","natural","polyster","chiffon","cascading","solid","1"
"381","casual","average",4.5,"l","summer","o-neck","short","natural","cotton","jersey","pockets","solid","1"
"88","sexy","low",5,"m","autumn","o-neck","full","natural","cotton","chiffon","lace","print","2"
"427","casual","average",4.56476666666667,"free","summer","o-neck","sleevless","natural","cotton","worsted","lace","floral","1"
"462","casual","average",4.5,"l","spring","boat-neck","thressqatar","natural","cotton","dobby","lace","animal","2"
"288","party","very-high",4.8,"free","spring","sweetheart","sleevless","natural","polyster","chiffon","beading","solid","2"
"339","cute","medium",4.6,"free","spring","o-neck","short","natural","chiffonfabric","chiffon","hollowout","solid","2"
"418","party","very-high",4.6,"free","summer","o-neck","sleevless","empire","rayon","sattin","hollowout","solid","1"
"325","casual","low",4.8,"m","winter","v-neck","sleevless","natural","polyster","chiffon","applique","print","1"
"484","casual","low",4.4,"free","summer","o-neck","full","natural","cotton","jersey","pockets","solid","2"
"41","brief","low",4.4,"l","autumn","o-neck","halfsleeve","natural","rayon","chiffon","sashes","solid","1"
"421","casual","medium",4.9,"l","winter","o-neck","short","natural","cotton","broadcloth","sashes","solid","1"
"110","sexy","average",4.69806666666667,"l","autumn","v-neck","sleevless","empire","polyster","chiffon","bow","patchwork","1"
"403","party","average",4.75963333333334,"m","summer","o-neck","full","natural","cotton","shiffon","feathers","patchwork","2"
"411","vintage","average",4.65375,"l","summer","sqare-collor","short","empire","cotton","chiffon","tiered","dot","2"
"19","sexy","average",5,"m","autumn","o-neck","sleevless","empire","milksilk","chiffon","rivet","solid","2"
"43","casual","low",4.8,"free","spring","o-neck","sleevless","natural","cotton","chiffon","sashes","print","1"
"376","work","average",4.7,"m","spring","v-neck","sleevless","empire","cotton","chiffon","button","solid","2"
"342","casual","average",4.8,"m","spring","o-neck","sleevless","natural","cotton","chiffon","hollowout","print","1"
"69","casual","medium",4.69853333333334,"m","autumn","v-neck","short","empire","polyster","chiffon","bow","solid","1"
"120","work","average",4.8,"l","winter","v-neck","short","natural","mix","broadcloth","lace","solid","1"
"39","casual","average",4.5,"m","spring","v-neck","short","empire","cotton","chiffon","button","solid","2"
"171","casual","low",4.8,"xl","summer","o-neck","short","empire","mix","chiffon","sashes","geometric","1"
"24","sexy","average",4.73242424242424,"free","autumn","v-neck","sleevless","natural","polyster","broadcloth","lace","patchwork","1"
"374","sexy","average",4.1,"free","summer","v-neck","sleevless","natural","cotton","wollen","lace","solid","2"
"247","casual","low",4.5,"free","summer","o-neck","full","natural","cotton","chiffon","button","solid","1"
"197","casual","average",4.63175,"free","summer","v-neck","sleevless","natural","cotton","chiffon","bow","patchwork","1"
"377","cute","average",4.6,"free","spring","v-neck","full","natural","cotton","chiffon","hollowout","solid","2"
"38","party","average",4.6,"m","winter","o-neck","sleevless","natural","cotton","chiffon","lace","solid","2"
"434","casual","average",4.8,"m","summer","v-neck","full","natural","cotton","shiffon","feathers","patchwork","1"
"297","party","average",4.89203333333333,"m","spring","v-neck","sleevless","natural","silk","chiffon","beading","solid","2"
"389","bohemian","average",4.1,"free","summer","o-neck","thressqatar","natural","cotton","wollen","hollowout","solid","1"
"279","party","average",4.7,"free","winter","o-neck","sleevless","empire","polyster","chiffon","embroidary","print","1"
"159","sexy","low",4.8,"free","spring","v-neck","sleevless","natural","cotton","broadcloth","sequined","solid","2"
"13","vintage","average",4.8,"m","summer","o-neck","short","empire","cotton","jersey","pockets","animal","2"
"129","casual","average",4.80427272727273,"free","spring","o-neck","short","natural","cotton","broadcloth","lace","solid","2"
"44","vintage","average",4.8,"m","winter","o-neck","sleevless","natural","cotton","jersey","feathers","patchwork","2"
"401","casual","medium",4.70075,"free","winter","bowneck","full","natural","cashmere","knitted","feathers","solid","2"
"21","casual","low",4.3,"m","summer","o-neck","sleevless","natural","polyster","chiffon","plain","solid","1"
"205","casual","average",4.5,"m","summer","peterpan-collor","sleevless","natural","chiffonfabric","chiffon","ruched","solid","1"
"229","sexy","low",4.8,"m","autumn","v-neck","full","natural","cotton","chiffon","lace","print","2"
"192","cute","average",4.8,"m","summer","o-neck","short","natural","cotton","chiffon","rivet","solid","1"
"370","casual","average",4.8,"free","summer","o-neck","sleevless","natural","cotton","chiffon","sashes","solid","1"
"103","bohemian","low",4.8,"free","summer","o-neck","short","natural","cotton","chiffon","none","animal","2"
"492","cute","average",4.6,"m","spring","o-neck","halfsleeve","natural","acrylic","chiffon","sashes","solid","1"
"254","party","very-high",4.61916666666667,"l","winter","v-neck","sleevless","natural","polyster","tulle","beading","solid","1"
"429","sexy","low",4.4,"free","autumn","v-neck","sleevless","natural","cotton","worsted","lace","solid","1"
"430","sexy","average",4.24706666666667,"free","spring","v-neck","full","natural","cotton","wollen","lace","solid","2"
"102","casual","low",3.77126666666667,"free","winter","o-neck","halfsleeve","natural","polyster","worsted","hollowout","patchwork","2"
"330","novelty","average",4.78657272727273,"free","winter","o-neck","short","natural","polyster","broadcloth","lace","solid","2"
"12","sexy","low",4.7,"m","winter","o-neck","threequarter","natural","polyster","chiffon","lace","print","2"
"295","casual","very-high",4.74861666666667,"small","spring","o-neck","full","natural","mix","chiffon","applique","print","1"
"477","sexy","low",4.56261666666667,"free","winter","o-neck","sleevless","natural","lycra","chiffon","hollowout","solid","1"
"175","casual","low",4.69744285714286,"l","winter","o-neck","sleevless","empire","polyster","chiffon","sashes","leopard","1"
"344","casual","average",4.3,"m","spring","o-neck","halfsleeve","natural","polyster","chiffon","hollowout","solid","2"
"278","casual","high",4.6,"m","summer","sweetheart","sleevless","empire","silk","chiffon","beading","solid","2"
"109","casual","average",4.7,"l","autumn","o-neck","halfsleeve","natural","polyster","broadcloth","lace","solid","1"
"83","vintage","low",4.6,"m","summer","o-neck","short","natural","cotton","chiffon","ruffles","print","1"
"358","bohemian","low",5,"free","summer","o-neck","sleevless","empire","cotton","broadcloth","tassel","print","2"
"28","cute","low",4.3,"free","autumn","o-neck","sleevless","natural","polyster","chiffon","sashes","striped","1"
"140","sexy","low",4.51185,"free","autumn","slash-neck","short","empire","polyster","corduroy","hollowout","solid","1"
"251","cute","low",4.71903333333333,"free","summer","boat-neck","sleevless","empire","cotton","broadcloth","applique","print","1"
"405","sexy","average",4.9,"free","summer","sqare-collor","sleevless","natural","polyster","chiffon","sashes","print","1"
"220","casual","low",4.50320952380952,"free","autumn","peterpan-collor","threequarter","empire","polyster","chiffon","bow","solid","1"
"107","casual","low",4.6,"free","autumn","o-neck","full","natural","cotton","worsted","lace","solid","2"
"303","sexy","average",5,"m","summer","o-neck","sleeveless","natural","polyster","broadcloth","rivet","solid","1"
"32","casual","average",4.4,"l","autumn","o-neck","sleevless","natural","linen","chiffon","ruffles","animal","1"
"485","casual","low",5,"m","autumn","o-neck","sleevless","empire","polyster","chiffon","applique","print","2"
"148","vintage","average",4.3,"free","winter","o-neck","short","natural","chiffonfabric","chiffon","cascading","print","1"
"286","cute","average",4.4,"free","spring","sweetheart","sleevless","empire","spandex","tulle","ruched","solid","2"
"101","casual","average",4.7,"l","summer","v-neck","short","natural","cotton","broadcloth","applique","print","2"
"144","casual","average",4.63605,"l","spring","boat-neck","sleevless","natural","cotton","worsted","lace","solid","2"
"482","cute","average",4.7,"m","spring","o-neck","full","natural","rayon","chiffon","beading","solid","2"
"455","party","average",4.93403333333333,"m","spring","o-neck","sleevless","natural","silk","chiffon","beading","solid","2"
"338","work","average",4.9,"m","winter","slash-neck","short","natural","polyster","broadcloth","ruffles","solid","1"
