"","Sex","Age","Debt","Married","BankCustomer","EducationLevel","Ethicity","Years_employed","PriorDefault","Employed","CreditScore","Driverslicense","Citizen","Zipcode","Income","class"
"345","b",62.75,7,"u","g","e","z",0,"f","f",0,"f","g",0,12,"-"
"689","b",35,3.375,"u","g","c","h",8.29,"f","f",0,"t","g",0,0,"-"
"673","b",29.5,2,"y","p","e","h",2,"f","f",0,"f","g",256,17,"-"
"55","b",23.33,11.625,"y","p","w","v",0.835,"t","f",0,"t","g",160,300,"+"
"24","a",41.17,6.5,"u","g","q","v",0.5,"t","t",3,"t","g",145,0,"+"
"80","b",49.58,19,"u","g","ff","ff",0,"t","t",1,"f","g",94,0,"-"
"471","b",21.08,4.125,"y","p","i","h",0.04,"f","f",0,"f","g",140,100,"-"
"328","b",34.83,2.5,"y","p","w","v",3,"f","f",0,"f","s",200,0,"-"
"493","a",20.5,11.835,"u","g","c","h",6,"t","f",0,"f","g",340,0,"+"
"682","b",17.08,3.29,"u","g","i","v",0.335,"f","f",0,"t","g",140,2,"-"
"479","b",26.5,2.71,"y","p","m","v",0.085,"f","f",0,"f","s",80,0,"-"
"103","b",25,12,"u","g","k","v",2.25,"t","t",2,"t","g",120,5,"-"
"2","a",24.5,0.5,"u","g","q","h",1.5,"t","f",0,"f","g",280,824,"+"
"178","a",18.42,9.25,"u","g","q","v",1.21,"t","t",4,"f","g",60,540,"+"
"658","a",15.75,0.375,"u","g","c","v",1,"f","f",0,"f","g",120,18,"-"
"160","b",27.67,2,"u","g","x","h",1,"t","t",4,"f","g",140,7544,"+"
"383","a",56.83,4.25,"y","p","ff","ff",5,"f","f",0,"t","g",0,4,"-"
"435","b",19,0,"y","p","ff","ff",0,"f","t",4,"f","g",45,1,"-"
"126","b",47.67,2.5,"u","g","m","bb",2.5,"t","t",12,"t","g",410,2510,"+"
"259","a",24.5,1.75,"y","p","c","v",0.165,"f","f",0,"f","g",132,0,"-"
"59","b",43.25,3,"u","g","q","h",6,"t","t",11,"f","g",80,0,"+"
"447","a",27.33,1.665,"u","g","ff","ff",0,"f","f",0,"f","g",340,1,"-"
"487","b",24.5,13.335,"y","p","aa","v",0.04,"f","f",0,"t","g",120,475,"-"
"180","b",47.67,0.29,"u","g","c","bb",15,"t","t",20,"f","g",0,15000,"+"
"509","b",21,4.79,"y","p","w","v",2.25,"t","t",1,"t","g",80,300,"+"
"132","a",47.42,8,"u","g","e","bb",6.5,"t","t",6,"f","g",375,51100,"+"
"617","b",32.25,14,"y","p","ff","ff",0,"f","t",2,"f","g",160,1,"-"
"427","b",37.5,0.835,"u","g","e","v",0.04,"f","f",0,"f","g",120,5,"-"
"546","b",23.58,0.46,"y","p","w","v",2.625,"t","t",6,"t","g",208,347,"-"
"376","b",28.67,14.5,"u","g","d","v",0.125,"f","f",0,"f","g",0,286,"-"
"278","b",24.58,13.5,"y","p","ff","ff",0,"f","f",0,"f","g",114.247245954693,0,"-"
"290","b",23,0.75,"u","g","m","v",0.5,"f","f",0,"t","s",320,0,"-"
"374","a",28.17,0.585,"u","g","aa","v",0.04,"f","f",0,"f","g",260,1004,"-"
"610","b",20,1.25,"y","p","k","v",0.125,"f","f",0,"f","g",140,4,"-"
"147","a",40.33,7.54,"y","p","q","h",8,"t","t",14,"f","g",0,2300,"+"
"149","a",52.83,15,"u","g","c","v",5.5,"t","t",14,"f","g",0,2200,"+"
"120","b",39.92,6.21,"u","g","q","v",0.04,"t","t",1,"f","g",200,300,"+"
