"","duration","wage.increase.first.year","wage.increase.second.year","wage.increase.third.year","cost.of.living.adjustment","working.hours","pension","standby.pay","shift.differential","education.allowance","statutory.holidays","vacation","longterm.disability.assistance","contribution.to.dental.plan","bereavement.assistance","contribution.to.health.plan","class"
"56",3,6,6,4,"none",35,"ret_allw",10.21,14,"yes",9,"generous","yes","full","yes","full","good"
"3",3,3.7,4,5,"tc",35.7613333333333,"empl_contr",9.57333333333333,6.85333333333333,"yes",12.1966666666667,"generous","yes","none","yes","full","good"
"38",3,2,2.5,2,"tc",37,"empl_contr",3.73333333333333,2.18,"no",10,"average","no","half","yes","none","bad"
"0",1,5,4.2815,3.0303,"none",40,"none",6.53,2,"no",11,"average","no","full","yes","none","good"
"33",2,4,5,2.9913,"none",40,"none",6.42,3,"no",10,"below_average","no","none","yes","none","bad"
"22",3,3.5,4,4.6,"tcf",27,"empl_contr",10.13,6.44,"yes",12.5966666666667,"generous","yes","full","yes","full","good"
"42",2,2.5,2.5,3.2442,"tc",39,"empl_contr",5.44333333333333,4.19333333333333,"no",12,"average","yes","none","yes","full","bad"
"13",3,3.5,4,5.1,"tcf",37,"empl_contr",9.25,4,"yes",13,"generous","yes","full","yes","full","good"
"17",1,2.1,2.78716666666667,2.6192,"tc",40,"ret_allw",2,3,"no",9,"below_average","yes","half","no","none","bad"
"32",2,2.5,2.5,3.3052,"tc",38,"empl_contr",5.52333333333333,4.21333333333333,"no",10,"average","yes","none","yes","full","bad"
"20",2,4.3,4.4,4.63413333333334,"none",38,"empl_contr",9.35,4,"yes",12,"generous","yes","full","yes","full","good"
"46",2,4.5,4,4.1968,"none",40,"ret_allw",9.57,5,"yes",11,"average","yes","full","yes","full","good"
"41",2,2,3,4.16773333333334,"none",38,"empl_contr",7.62,5.17583333333333,"yes",12,"generous","yes","none","yes","full","bad"
"9",1,5.7,4.24066666666667,3.84813333333334,"none",40,"empl_contr",7.62,4,"no",11,"generous","yes","full","yes","full","good"
"6",3,4,5,5,"tc",35.2066666666667,"empl_contr",11,6.75333333333333,"yes",12,"generous","yes","none","yes","half","good"
"8",2,3,7,3.79113333333334,"tcf",38,"empl_contr",12,25,"yes",11,"below_average","yes","half","yes","half","good"
"14",1,3,3.68,4.03646666666667,"none",36,"empl_contr",6.72,10,"no",11,"generous","yes","none","no","none","good"
"45",2,4.5,4,2.5823,"none",40,"none",6.31,2,"no",10,"below_average","no","half","yes","half","bad"
"36",1,2,2.9125,3.08103333333333,"tc",40,"ret_allw",4,0,"no",11,"generous","no","none","no","none","bad"
"24",1,6,4.499,3.7048,"none",38,"ret_allw",8,3,"no",9,"generous","yes","none","no","none","good"
"54",3,5,4.4,4.61906666666667,"none",38,"empl_contr",10,6,"yes",11,"generous","yes","full","yes","full","good"
"52",3,3.5,4,4.5,"tcf",35,"empl_contr",10.13,6.43,"yes",13,"generous","yes","full","yes","full","good"
"37",1,2.8,3.14766666666667,2.7932,"none",38,"empl_contr",2,3,"no",9,"below_average","yes","half","no","none","bad"
"40",1,4,4.371,3.884,"none",38.6,"none",9.08,4.85333333333333,"yes",11,"average","no","none","no","none","bad"
"47",2,4.6,4.6,4.30046666666667,"tcf",38,"empl_contr",10.99,4.72,"yes",11.985,"generous","yes","half","yes","half","good"
"19",2,4,5,4.70216666666667,"tcf",35,"empl_contr",13,5,"yes",15,"generous","yes","none","yes","half","good"
"2",2.05111111111111,4.47325,4.801,4.30646666666667,"tcf",38,"empl_contr",11.42,5,"yes",11,"generous","yes","half","yes","half","good"
"5",2,2,2.5,3.97075,"tc",35,"empl_contr",7.26333333333333,6,"yes",12,"average","yes","none","yes","full","good"
"43",2,2.5,3,2.40236666666667,"tcf",40,"none",4.79,4.825,"no",11,"below_average","no","half","yes","full","bad"
"28",2,5,4,3.8118,"none",37,"empl_contr",8.64,5,"no",11,"below_average","yes","full","yes","full","good"
"29",3,2,2.5,3.2402,"tc",35,"none",5.37333333333333,5.26333333333333,"no",10,"average","yes","none","yes","full","bad"
"35",2,2,2,3.0642,"none",40,"none",4.66,3.43833333333333,"no",11,"average","yes","none","yes","full","bad"
"31",3,3,2,2.5,"tc",40,"none",4.66333333333333,5,"no",10,"below_average","yes","half","yes","full","bad"
"34",3,2,2.5,2.1,"tc",40,"none",2,1,"no",10,"below_average","no","half","yes","full","bad"
"11",2,6.4,6.4,4.5748,"tcf",38,"empl_contr",10.52,4,"yes",15,"generous","yes","full","yes","half","good"
"26",2,4.5,4.5,4.38341666666667,"tcf",35.958,"ret_allw",10.99,8.43833333333333,"yes",10,"below_average","yes","none","yes","half","good"
"7",3,6.9,4.8,2.3,"none",40,"none",6.8,3,"no",12,"below_average","no","half","yes","half","good"
"51",3,2,3,3.57013333333334,"tcf",36.135,"empl_contr",7.3,8.045,"yes",11.27,"below_average","yes","half","yes","full","good"
"21",2,2.5,3,2.2427,"tc",40,"none",3.13333333333333,2.285,"no",11,"below_average","no","half","yes","none","bad"
"50",2,7,5.3,4.0568,"none",39.09,"ret_allw",9.82,5.3675,"yes",11,"average","yes","full","yes","full","good"
"27",2,3,3,4.41525,"none",33,"empl_contr",8.36,7.56333333333333,"yes",12,"generous","yes","none","yes","full","good"
"18",1,2,2.90033333333333,3.2964,"none",38,"none",5.28,2.15,"yes",11,"average","no","none","no","none","bad"
"39",2,4.5,4,4.2428,"none",40,"empl_contr",9.26,4,"yes",12,"average","yes","full","yes","half","good"
"49",2,5.7,4.5,3.5218,"none",40,"ret_allw",8.44,4.32166666666667,"no",11,"average","yes","full","yes","full","good"
"1",2,4.5,5.8,4.24756666666667,"tcf",35,"ret_allw",10.94,8.61666666666667,"yes",11,"below_average","yes","full","yes","full","good"
