"","Latitude","Altitude","Rainfall","Frosts","Year","Sp","PMCno","DBH","Ht","Surv","Vig","Ins_res","Stem_Fm","Crown_Fm","Brnch_Fm","Utility"
"679",-39.7166666666667,150,900,-2,1986,"ra",1825,19.81,9.05,35.7468144055089,2.80762235154776,2.68139265789383,1.375493711468,1.44017347776362,0.995394492134974,"0"
"129",-39.8333333333333,70,1000,-2,1981,"fa",1978,26.6,13.5,75,5,3,2.5,2,1,"1"
"509",-41.2666666666667,300,1200,-3,1982,"ov",2571,16.79,13.17,100,4,2,3,3,2.5,"1"
"471",-41.1333333333333,220,1050,-2,1983,"fr",2552,14.89,7.56,50,4,4,2,3,2,"1"
"299",-40.95,180,1080,-3,1982,"re",2550,11.27,7.14,75,2.5,3,3,4,3,"0"
"270",-41.2,160,1000,-3,1981,"fr",1786,11.9,9.6,88,4,3,2.5,2.5,2.5,"1"
"187",-40.95,180,1080,-3,1981,"rd",1524,2.57,3.08,75,2,2,2,4,3,"0"
"307",-40.95,180,1080,-3,1982,"fa",2548,5.5,4.89,25,1.5,3,3,3,3,"0"
"597",-40,150,1300,-2,1983,"am",2560,35.83,21.5,10,3.3,3.5,4,4.5,3,"1"
"277",-41.2,160,1000,-3,1981,"re",2428,12.3,8.2,75,4,3,3,2,2,"1"
"494",-41.2666666666667,300,1200,-3,1982,"br",2620,7.87,6.25,100,3.5,1.5,2,2,2,"0"
"330",-40.6,150,1250,-3,1983,"am",1592,24.24,17.9,38,3.5,3.5,3,3.3,2.5,"1"
"591",-40,150,1300,-2,1983,"ov",2571,31.33,15.67,30,4.1,2.3,3.4,4,3.1,"1"
"37",-39,200,1400,-2,1980,"co",1520,25.92,12.12,61.6071973782815,3.3,3,4,3.5,3.5,"1"
"105",-39.8333333333333,70,1000,-2,1981,"fa",1978,23.7,12.6,88,5,3.3,3,2,2,"1"
"485",-41.1333333333333,220,1050,-2,1983,"pa",2750,13.26,8.94,100,4,4,3,3.5,3.5,"1"
"677",-39.7166666666667,150,900,-2,1986,"pu",2573,23.62,10.11,44.0014637214592,3.29263596173834,3.05480477131963,2.13620029932139,2.23990381320584,1.72734372403883,"0"
"382",-40.6,150,1250,-3,1983,"pu",2573,27.4,17.9,38,3,3.3,2.5,3,2,"1"
"601",-40,150,1300,-2,1983,"fr",2552,15.52,7.83,10,2,4,4,4,4,"0"
"326",-40.95,180,1080,-3,1982,"re",2553,19.13,13.5,50,5,4,4,4,3,"1"
"725",-39.7166666666667,150,900,-2,1986,"te",3274,20.57,7.71,31.5399653263915,2.93128379798434,2.86431788018466,1.17774227499215,1.22943994199077,0.73150678873029,"0"
"554",-41.2666666666667,300,1200,-3,1982,"fa",2548,24.77,10.67,100,4.5,3,4,3,2,"1"
