"","Style","Price","Rating","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern","Class"
"323","casual","low",5,"free","spring","v-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"166","sexy","medium",5,"m","winter","o-neck","sleevless","empire","Material_polyster","FabricType_chiffon","Decoration_bow","Pattern_solid","1"
"128","party","average",4.4,"free","autumn","v-neck","threequarter","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"417","bohemian","low",4.6,"free","summer","v-neck","sleevless","natural","Material_cotton","FabricType_broadcloth","Decoration_beading","Pattern_solid","1"
"470","sexy","average",4.65032258064516,"s","summer","v-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"298","casual","average",4.4,"free","summer","slash-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"269","party","high",4.6,"l","spring","slash-neck","sleevless","empire","Material_silk","FabricType_chiffon","Decoration_beading","Pattern_solid","1"
"465","party","average",4.9,"m","winter","o-neck","halfsleeve","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"186","casual","low",4.65032258064516,"free","summer","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_patchwork","1"
"306","work","average",4.9,"m","summer","sqare-collor","halfsleeve","empire","Material_polyster","FabricType_sattin","Decoration_sashes","Pattern_solid","1"
"480","casual","low",4.4,"free","summer","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_pockets","Pattern_solid","1"
"84","casual","average",4.65032258064516,"free","winter","o-neck","halfsleeve","empire","Material_polyster","FabricType_chiffon","Decoration_hollowout","Pattern_solid","1"
"276","party","very-high",4.1,"m","winter","scoop","short","natural","Material_cotton","FabricType_lace","Decoration_applique","Pattern_solid","2"
"361","cute","average",4.7,"m","summer","o-neck","sleevless","natural","Material_chiffonfabric","FabricType_chiffon","Decoration_sashes","Pattern_splice","1"
"437","sexy","low",4.4,"free","summer","bowneck","sleevless","natural","Material_viscos","FabricType_chiffon","Decoration_bow","Pattern_solid","1"
"329","cute","average",4.3,"m","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"262","party","average",4.8,"free","winter","o-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_embroidary","Pattern_solid","2"
"328","casual","low",5,"m","spring","o-neck","sleeevless","natural","Material_chiffonfabric","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"78","casual","average",4.65032258064516,"free","spring","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"212","casual","average",4.3,"free","summer","o-neck","sleevless","natural","Material_cotton","FabricType_worsted","Decoration_lace","Pattern_striped","1"
"36","vintage","average",4.6,"free","winter","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","2"
"104","work","medium",4.6,"l","winter","sqare-collor","short","empire","Material_cotton","FabricType_chiffon","Decoration_tiered","Pattern_solid","1"
"216","sexy","low",4.3,"m","autumn","open","short","natural","Material_lace","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"365","brief","average",4.8,"free","winter","v-neck","halfsleeve","natural","Material_polyster","FabricType_broadcloth","Decoration_lace","Pattern_solid","1"
"164","cute","average",4.65032258064516,"xl","spring","boat-neck","full","natural","Material_cotton","FabricType_worsted","Decoration_applique","Pattern_dot","2"
"289","party","medium",4.8,"m","spring","o-neck","sleevless","natural","Material_silk","FabricType_chiffon","Decoration_crystal","Pattern_solid","2"
