"","surgery","Age","rectal_temperature","pulse","respiratory_rate","temp_extremities","peripheral_pulse","mucous_membranes","capillary_refill_time","pain","peristalsis","abdominal_distension","nasogastric_tube","nasogastric_reflux","rectal_examination","abdomen","packed_cell_volume","total_protein","outcome","surgical_lesion"
"323","yes","adult",38.4,84,30,"temp_extremities_cool","peripheral_pulse_normal","bright red",">=3","intermittent severe pain","peristalsis_hypomotile","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_<1l","rectal_examination_absent","abdomen_distended small intestine",47,7.5,"died","yes"
"166","yes","adult",38.3,40,18,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_hypermotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_increased","abdomen_normal",43,5.9,"lived","no"
"128","yes","adult",37.4,84,20,"temp_extremities_cool","peripheral_pulse_normal","pale pink","<3","depressed","peristalsis_hypomotile","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",31,61,"euthanized","no"
"298","yes","adult",36.5,100,24,"temp_extremities_cool","peripheral_pulse_reduced","pale pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_moderate","nasogastric_tube_significant","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended small intestine",50,6,"lived","yes"
"269","yes","adult",39.3,64,90,"temp_extremities_warm","peripheral_pulse_reduced","normal pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_>1l","rectal_examination_normal","abdomen_distended large intestine",39,6.7,"lived","yes"
"186","yes","adult",39.3,64,90,"temp_extremities_warm","peripheral_pulse_reduced","normal pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_>1l","rectal_examination_absent","abdomen_distended large intestine",39,6.7,"lived","yes"
"306","no","adult",38.4,80,60,"temp_extremities_cool","peripheral_pulse_increased","bright pink","<3","intermittent mild pain","peristalsis_normal","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_>1l","rectal_examination_normal","abdomen_normal",54,6.9,"lived","no"
"84","yes","adult",37.8,60,80,"temp_extremities_normal","peripheral_pulse_reduced","bright pink",">=3","depressed","peristalsis_hypomotile","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_>1l","rectal_examination_absent","abdomen_distended large intestine",40,4.5,"lived","yes"
"276","yes","adult",38,36,16,"temp_extremities_cool","peripheral_pulse_normal","normal pink","<3","intermittent severe pain","peristalsis_normal","abdominal_distension_slight","nasogastric_tube_significant","nasogastric_reflux_<1l","rectal_examination_decreased","abdomen_distended large intestine",37,75,"euthanized","no"
"329","no","adult",37.7,40,18,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_normal","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_decreased","abdomen_firm feces in large intestine",36,3.5,"lived","no"
"262","no","young",38.6,88,28,"temp_extremities_cool","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",35,5.9,"lived","no"
"328","yes","adult",38.2,60,27.7425967078415,"temp_extremities_normal","peripheral_pulse_normal","pale pink","<3","depressed","peristalsis_hypermotile","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended small intestine",43,6.2,"lived","yes"
"78","yes","adult",38.2689960607851,94.065835552536,38.237612252145,"temp_extremities_cool","peripheral_pulse_reduced","pale pink","meaning unknown","continuous severe pain","peristalsis_hypomotile","abdominal_distension_moderate","nasogastric_tube_significant","nasogastric_reflux_>1l","rectal_examination_absent","abdomen_distended large intestine",46,5.9,"died","yes"
"212","yes","young",38.9,120,30,"temp_extremities_normal","peripheral_pulse_reduced","bright pink",">=3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_moderate","nasogastric_tube_significant","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",47,6.3,"lived","no"
"36","no","adult",38.3,112,16,"temp_extremities_cool","peripheral_pulse_reduced","bright red",">=3","depressed","peristalsis_absent","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_>1l","rectal_examination_absent","abdomen_distended large intestine",51,6,"euthanized","no"
"104","yes","adult",37.8,52,24,"temp_extremities_normal","peripheral_pulse_reduced","pale pink","<3","intermittent severe pain","peristalsis_absent","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_<1l","rectal_examination_increased","abdomen_distended large intestine",48,6.6,"died","yes"
"216","no","adult",38.0840496760675,54.663052621383,24.9550650212866,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_normal","abdomen_distended large intestine",40.0664437071141,27.0941476887754,"lived","no"
"164","yes","adult",38.7,76,31.9838121734729,"temp_extremities_normal","peripheral_pulse_normal","bright red",">=3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_slight","nasogastric_tube_slight","nasogastric_reflux_>1l","rectal_examination_absent","abdomen_distended small intestine",50,8,"lived","yes"
"289","yes","adult",38,50,36,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_normal","abdominal_distension_slight","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_decreased","abdomen_distended large intestine",39,6.6,"lived","yes"
"88","no","adult",39,64,40,"temp_extremities_normal","peripheral_pulse_normal","bright red","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_slight","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_decreased","abdomen_firm feces in large intestine",42,7.5,"lived","no"
"288","yes","adult",38.1469717827294,68.0685923628296,29.4740279352014,"temp_extremities_cool","peripheral_pulse_normal","normal pink","<3","intermittent mild pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",44.6535256930282,24.8641003811986,"lived","yes"
"339","no","adult",38.2,42,16,"temp_extremities_normal","peripheral_pulse_normal","pale pink","<3","alert no pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_normal","abdomen_normal",35,60,"lived","no"
"325","no","adult",38.7,52,18.9650260229852,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","alert no pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_normal","abdomen_firm feces in large intestine",4,74,"lived","no"
"358","yes","adult",36.6,48,16,"temp_extremities_cool","peripheral_pulse_normal","pale pink","<3","intermittent severe pain","peristalsis_hypermotile","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_normal","abdomen_distended large intestine",27,56,"euthanized","yes"
"41","no","young",39,150,72,"temp_extremities_cool","peripheral_pulse_reduced","pale cyanotic",">=3","continuous severe pain","peristalsis_absent","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",47,8.5,"lived","yes"
"110","yes","adult",38.2346331297846,70,16,"temp_extremities_cool","peripheral_pulse_absent","bright red",">=3","depressed","peristalsis_hypomotile","abdominal_distension_slight","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",60,7.5,"died","yes"
"19","no","adult",39.4,110,35,"temp_extremities_cold","peripheral_pulse_reduced","dark cyanotic",">=3","continuous severe pain","peristalsis_hypomotile","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",55,8.7,"lived","no"
"43","yes","adult",38.2677750734786,120,38.1499229383426,"temp_extremities_cool","peripheral_pulse_absent","pale cyanotic","<3","intermittent severe pain","peristalsis_absent","abdominal_distension_severe","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_absent","abdomen_distended large intestine",52,67,"euthanized","yes"
"69","no","adult",38,48,12,"temp_extremities_normal","peripheral_pulse_normal","normal pink","<3","alert no pain","peristalsis_hypomotile","abdominal_distension_none","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_decreased","abdomen_other",42,6.3,"lived","no"
"120","yes","adult",39.4,54,66,"temp_extremities_normal","peripheral_pulse_normal","bright pink","<3","depressed","peristalsis_hypomotile","abdominal_distension_slight","nasogastric_tube_none","nasogastric_reflux_none","rectal_examination_decreased","abdomen_distended small intestine",39,6,"lived","yes"
"39","yes","young",39.2,146,96,"temp_extremities_cool","peripheral_pulse_reduced","pale cyanotic",">=3","continuous severe pain","peristalsis_absent","abdominal_distension_moderate","nasogastric_tube_slight","nasogastric_reflux_<1l","rectal_examination_absent","abdomen_distended large intestine",65.6446729728111,14.6590829827799,"died","yes"
