"","Sex","Age","Debt","Married","BankCustomer","EducationLevel","Ethicity","Years_employed","PriorDefault","Employed","CreditScore","Driverslicense","Citizen","Zipcode","Income","class"
"661","b",29.83,3.5,"u","BankCustomer_g","EducationLevel_c","Ethicity_v",0.165,"PriorDefault_f","Employed_f",0,"Driverslicense_f","Citizen_g",216,0,"-"
"594","b",38.67,0.21,"u","BankCustomer_g","EducationLevel_k","Ethicity_v",0.085,"PriorDefault_t","Employed_f",0,"Driverslicense_t","Citizen_g",280,0,"+"
"11","b",29.92,1.835,"u","BankCustomer_g","EducationLevel_c","Ethicity_h",4.335,"PriorDefault_t","Employed_f",0,"Driverslicense_f","Citizen_g",260,200,"+"
"81","a",27.67,1.5,"u","BankCustomer_g","EducationLevel_m","Ethicity_v",2,"PriorDefault_t","Employed_f",0,"Driverslicense_f","Citizen_s",368,0,"-"
"208","b",35.17,2.5,"u","BankCustomer_g","EducationLevel_k","Ethicity_v",4.5,"PriorDefault_t","Employed_t",7,"Driverslicense_f","Citizen_g",150,1270,"+"
"7","a",22.92,11.585,"u","BankCustomer_g","EducationLevel_cc","Ethicity_v",0.04,"PriorDefault_t","Employed_f",0,"Driverslicense_f","Citizen_g",80,1349,"+"
"16","b",28.25,0.875,"u","BankCustomer_g","EducationLevel_m","Ethicity_v",0.96,"PriorDefault_t","Employed_t",3,"Driverslicense_t","Citizen_g",396,0,"+"
"667","a",17.92,0.54,"u","BankCustomer_g","EducationLevel_c","Ethicity_v",1.75,"PriorDefault_f","Employed_t",1,"Driverslicense_t","Citizen_g",80,5,"-"
"624","b",21.58,0.79,"y","BankCustomer_p","EducationLevel_cc","Ethicity_v",0.665,"PriorDefault_f","Employed_f",0,"Driverslicense_f","Citizen_g",160,0,"-"
"69","b",35.17,25.125,"u","BankCustomer_g","EducationLevel_x","Ethicity_h",1.625,"PriorDefault_t","Employed_t",1,"Driverslicense_t","Citizen_g",515,500,"+"
"54","b",34.25,3,"u","BankCustomer_g","EducationLevel_cc","Ethicity_h",7.415,"PriorDefault_t","Employed_f",0,"Driverslicense_t","Citizen_g",0,0,"+"
"617","b",32.25,14,"y","BankCustomer_p","EducationLevel_ff","Ethicity_ff",0,"PriorDefault_f","Employed_t",2,"Driverslicense_f","Citizen_g",160,1,"-"
"163","b",32,1.75,"y","BankCustomer_p","EducationLevel_e","Ethicity_h",0.04,"PriorDefault_t","Employed_f",0,"Driverslicense_t","Citizen_g",393,0,"+"
"162","b",25.08,1.71,"u","BankCustomer_g","EducationLevel_x","Ethicity_v",1.665,"PriorDefault_t","Employed_t",1,"Driverslicense_t","Citizen_g",395,20,"+"
"541","b",42.75,3,"u","BankCustomer_g","EducationLevel_i","Ethicity_bb",1,"PriorDefault_t","Employed_f",0,"Driverslicense_f","Citizen_g",0,200,"-"
