"","handicapped.infants","water.project.cost.sharing","adoption.of.the.budget.resolution","physician.fee.freeze","el.salvador.aid","religious.groups.in.schools","anti.satellite.test.ban","aid.to.nicaraguan.contras","mx.missile","immigration","synfuels.corporation.cutback","education.spending","superfund.right.to.sue","crime","duty.free.exports","export.administration.act.south.africa","Class"
"323","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"166","handicapped.infants_y","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_n","immigration_y","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_n","crime_y","duty.free.exports_y","export.administration.act.south.africa_y","republican"
"128","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_y","mx.missile_n","immigration_y","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"417","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_y","crime_n","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"298","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_n","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"269","handicapped.infants_y","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_n","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"186","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"306","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_n","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_n","republican"
"84","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_y","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_n","republican"
"276","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_n","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_y","export.administration.act.south.africa_n","republican"
"361","handicapped.infants_y","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_n","mx.missile_y","immigration_y","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"329","handicapped.infants_y","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"262","handicapped.infants_y","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_y","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"328","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_n","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"78","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_y","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"212","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_n","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_n","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_n","crime_n","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"36","handicapped.infants_y","water.project.cost.sharing_n","adoption.of.the.budget.resolution_n","physician.fee.freeze_y","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_y","synfuels.corporation.cutback_n","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","republican"
"104","handicapped.infants_n","water.project.cost.sharing_n","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_n","religious.groups.in.schools_y","anti.satellite.test.ban_y","aid.to.nicaraguan.contras_y","mx.missile_y","immigration_y","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
"216","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_y","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_y","immigration_y","synfuels.corporation.cutback_n","education.spending_n","superfund.right.to.sue_n","crime_y","duty.free.exports_y","export.administration.act.south.africa_y","democrat"
"365","handicapped.infants_n","water.project.cost.sharing_y","adoption.of.the.budget.resolution_n","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_y","synfuels.corporation.cutback_y","education.spending_n","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_n","democrat"
"164","handicapped.infants_y","water.project.cost.sharing_y","adoption.of.the.budget.resolution_n","physician.fee.freeze_n","el.salvador.aid_y","religious.groups.in.schools_y","anti.satellite.test.ban_n","aid.to.nicaraguan.contras_n","mx.missile_n","immigration_y","synfuels.corporation.cutback_y","education.spending_y","superfund.right.to.sue_y","crime_y","duty.free.exports_n","export.administration.act.south.africa_y","democrat"
