"","df_factors","Latitude","Altitude","Rainfall","Frosts","Year","PMCno","DBH","Ht","Surv","Vig","Ins_res","Stem_Fm","Crown_Fm","Brnch_Fm","Utility"
"679","ra",-39.7166666666667,150,900,-2,1986,1825,19.81,9.05,58.1733015653781,2.89652759840129,2.73293992464683,2.81542333750761,3.02661840530788,2.6915380543276,"0"
"129","fa",-39.8333333333333,70,1000,-2,1981,1978,26.6,13.5,75,5,3,2.5,2,1,"1"
"509","ov",-41.2666666666667,300,1200,-3,1982,2571,16.79,13.17,100,4,2,3,3,2.5,"1"
"471","fr",-41.1333333333333,220,1050,-2,1983,2552,14.89,7.56,50,4,4,2,3,2,"1"
"299","re",-40.95,180,1080,-3,1982,2550,11.27,7.14,75,2.5,3,3,4,3,"0"
"270","fr",-41.2,160,1000,-3,1981,1786,11.9,9.6,88,4,3,2.5,2.5,2.5,"1"
"187","rd",-40.95,180,1080,-3,1981,1524,2.57,3.08,75,2,2,2,4,3,"0"
"307","fa",-40.95,180,1080,-3,1982,2548,5.5,4.89,25,1.5,3,3,3,3,"0"
"597","am",-40,150,1300,-2,1983,2560,35.83,21.5,10,3.3,3.5,4,4.5,3,"1"
"277","re",-41.2,160,1000,-3,1981,2428,12.3,8.2,75,4,3,3,2,2,"1"
"494","br",-41.2666666666667,300,1200,-3,1982,2620,7.87,6.25,100,3.5,1.5,2,2,2,"0"
"330","am",-40.6,150,1250,-3,1983,1592,24.24,17.9,38,3.5,3.5,3,3.3,2.5,"1"
"591","ov",-40,150,1300,-2,1983,2571,31.33,15.67,30,4.1,2.3,3.4,4,3.1,"1"
"37","co",-39,200,1400,-2,1980,1520,25.92,12.12,68.693108329213,3.3,3,4,3.5,3.5,"1"
"105","fa",-39.8333333333333,70,1000,-2,1981,1978,23.7,12.6,88,5,3.3,3,2,2,"1"
"485","pa",-41.1333333333333,220,1050,-2,1983,2750,13.26,8.94,100,4,4,3,3.5,3.5,"1"
"677","pu",-39.7166666666667,150,900,-2,1986,2573,23.62,10.11,52.6746116910976,2.82947818524018,2.69620159455819,2.77239209835279,3.09286279806197,2.66534124337726,"0"
"382","pu",-40.6,150,1250,-3,1983,2573,27.4,17.9,38,3,3.3,2.5,3,2,"1"
"601","fr",-40,150,1300,-2,1983,2552,15.52,7.83,10,2,4,4,4,4,"0"
"326","re",-40.95,180,1080,-3,1982,2553,19.13,13.5,50,5,4,4,4,3,"1"
"725","te",-39.7166666666667,150,900,-2,1986,3274,20.57,7.71,47.5201628885636,2.76658335641298,2.66171716008013,2.73200840466035,3.1548867482658,2.64073700638943,"0"
"554","fa",-41.2666666666667,300,1200,-3,1982,2548,24.77,10.67,100,4.5,3,4,3,2,"1"
"422","co",-40.95,180,1080,-3,1983,2562,9.94,7.46,50,3,4,3,4,3,"0"
"111","nd",-39.8333333333333,70,1000,-2,1981,1596,12.6,8,37,2.5,3.5,4,4,4,"0"
"404","co",-40.95,180,1080,-3,1983,1,11.88,9.81,63,3,4,2.5,2.5,2.5,"0"
"532","nd",-41.2666666666667,300,1200,-3,1982,2635,17.4,10.66,75,3,2,4,4,3,"1"
"506","ov",-41.2666666666667,300,1200,-3,1982,1788,6.76,6.76,75,1,1,3,3,3,"0"
"556","ka",-41.2666666666667,300,1200,-3,1982,1171,8.4,3.91,100,3,2,1,2,1,"0"
"343","re",-40.6,150,1250,-3,1983,2550,7.84,3.34,38,2,2.3,1.5,2,2,"0"
"582","ni",-40,150,1300,-2,1983,2547,37.49,17.45,40,4.5,2.6,3.6,2.9,2.3,"1"
"121","si",-39.8333333333333,70,1000,-2,1981,2435,19.6,12.3,75,3.3,3,3.3,3.5,3.5,"1"
"40","nd",-39,200,1400,-2,1980,1596,24.42,10.47,68.1340888227612,4.5,4,4.3,3.7,3.3,"1"
"684","am",-39.7166666666667,150,900,-2,1986,3266,25.73,11.75,47.580110260926,2.76735277559762,2.66215888495992,2.73251901515367,3.15423005191006,2.64106503872665,"0"
"537","ov",-41.2666666666667,300,1200,-3,1982,2571,8.98,4.08,75,4,2,2,2,2,"0"
"375","ni",-40.6,150,1250,-3,1983,2547,25.4,18.75,13,3.7,2.7,2,2.5,2.3,"0"
"248","ob",-41.2,160,1000,-3,1981,2469,15.2,12.3,5,3,4,3.5,3,4,"0"
"198","fr",-40.95,180,1080,-3,1981,1339,3.81,4.73,100,3,2.7,3,3,3.5,"1"
"378","ob",-40.6,150,1250,-3,1983,2570,34.67,15.41,13,4,3,2.5,2.5,2,"0"
"39","mn",-39,200,1400,-2,1980,1362,11.88,8.23,69.8524158509931,2,4,4,4,4,"0"
"435","pa",-40.95,180,1080,-3,1983,2750,3.37,3.68,50,2,2.5,3,4,3,"0"
"390","cr",-40.95,180,1080,-3,1983,1252,12.96,11.21,88,4,4,2.5,2,2,"0"
"280","nc",-41.2,160,1000,-3,1981,1780,4.9,2.8,63,2,3,3,3.5,3.5,"0"
"672","nd",-39.7166666666667,150,900,-2,1986,2569,36.65,16.69,52.706498782646,2.82995139674859,2.69650509210149,2.77273270247059,3.09262246367286,2.66558631585946,"0"
"526","fr",-41.2666666666667,300,1200,-3,1982,2552,17.19,12.45,50,4,4,4,4,4,"1"
"642","rd",-40.95,180,1080,-3,1981,2575,9.48,6.16,50,2,1.8,2.5,3,2.5,"0"
"45","rd",-39,200,1400,-2,1980,1524,23.36,10.33,68.6631591593969,3.3,3,3,4,4,"1"
"402","fr",-40.95,180,1080,-3,1983,2552,5.78,7.21,13,1.5,3,4,4,4,"0"
"22","fr",-39.6333333333333,100,850,-2,1980,1487,21.52,8.77,20,4,3.5,3,3,1,"0"
"193","br",-40.95,180,1080,-3,1981,1113,4.62,4.11,88,3,2,2.5,3.5,3,"0"
"371","co",-40.6,150,1250,-3,1983,2562,14.87,15.56,38,3.5,3.5,3.3,3.3,3,"1"
"499","fa",-41.2666666666667,300,1200,-3,1982,2548,7.7,5.69,100,3,3,4,4,4,"0"
