"","surgery","Age","temp_extremities","peripheral_pulse","mucous_membranes","capillary_refill_time","pain","peristalsis","abdominal_distension","nasogastric_tube","nasogastric_reflux","rectal_examination","abdomen","outcome","rectal_temperature","pulse","respiratory_rate","packed_cell_volume","total_protein","surgical_lesion"
"323","yes","adult","cool","normal","bright red",">=3","intermittent severe pain","hypomotile","moderate","slight","<1l","absent","distended small intestine","died",38.4,84,30,47,7.5,"yes"
"166","yes","adult","normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","increased","normal","lived",38.3,40,18,43,5.9,"no"
"128","yes","adult","cool","normal","pale pink","<3","depressed","hypomotile","moderate","slight","none","absent","distended large intestine","euthanized",37.4,84,20,31,61,"no"
"298","yes","adult","cool","reduced","pale pink","<3","intermittent mild pain","hypomotile","moderate","significant","none","absent","distended small intestine","lived",36.5,100,24,50,6,"yes"
"269","yes","adult","warm","reduced","normal pink","<3","intermittent mild pain","hypomotile","none","none",">1l","normal","distended large intestine","lived",39.3,64,90,39,6.7,"yes"
"186","yes","adult","warm","reduced","normal pink","<3","intermittent mild pain","hypomotile","none","none",">1l","absent","distended large intestine","lived",39.3,64,90,39,6.7,"yes"
"306","no","adult","cool","increased","bright pink","<3","intermittent mild pain","normal","none","slight",">1l","normal","normal","lived",38.4,80,60,54,6.9,"no"
"84","yes","adult","normal","reduced","bright pink",">=3","depressed","hypomotile","moderate","slight",">1l","absent","distended large intestine","lived",37.8,60,80,40,4.5,"yes"
"276","yes","adult","cool","normal","normal pink","<3","intermittent severe pain","normal","slight","significant","<1l","decreased","distended large intestine","euthanized",38,36,16,37,75,"no"
"329","no","adult","normal","normal","normal pink","<3","intermittent mild pain","normal","none","none","none","decreased","firm feces in large intestine","lived",37.7,40,18,36,3.5,"no"
"262","no","young","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",38.6,88,28,35,5.9,"no"
"328","yes","adult","normal","normal","pale pink","<3","depressed","hypermotile","none","none","none","absent","distended small intestine","lived",38.2,60,28.2557230388317,43,6.2,"yes"
"78","yes","adult","cool","reduced","pale pink","meaning unknown","continuous severe pain","hypomotile","moderate","significant",">1l","absent","distended large intestine","died",36.9637898117325,81.2589719091483,34.7902717821406,46,5.9,"yes"
"212","yes","young","normal","reduced","bright pink",">=3","intermittent mild pain","hypomotile","moderate","significant","none","absent","distended large intestine","lived",38.9,120,30,47,6.3,"no"
"36","no","adult","cool","reduced","bright red",">=3","intermittent mild pain","hypomotile","none","none",">1l","absent","distended large intestine","euthanized",38.3,112,16,51,6,"no"
"104","yes","adult","normal","reduced","pale pink","<3","intermittent severe pain","absent","none","slight","<1l","increased","distended large intestine","died",37.8,52,24,48,6.6,"yes"
"216","no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",0.576841878236432,2.48700962748006,1.07796443833301,0.940047156832639,-2.42587481191807,"no"
"164","yes","adult","normal","normal","bright red",">=3","intermittent mild pain","hypomotile","slight","slight",">1l","absent","distended small intestine","lived",38.7,76,33.9721147416572,50,8,"yes"
"289","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","normal","slight","slight","none","decreased","distended large intestine","lived",38,50,36,39,6.6,"yes"
"88","no","adult","normal","normal","bright red","<3","intermittent mild pain","hypomotile","slight","slight","none","decreased","firm feces in large intestine","lived",39,64,40,42,7.5,"no"
"288","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",1.9597711164916,3.93264900003723,1.67966748836628,2.35750849274156,1.09046115317554,"yes"
"339","no","adult","normal","normal","pale pink","<3","alert no pain","hypomotile","none","slight","none","normal","distended large intestine","lived",38.2,42,16,35,60,"no"
"325","no","adult","normal","normal","normal pink","<3","alert no pain","hypomotile","none","slight","none","normal","firm feces in large intestine","lived",38.7,52,16.2044314798954,4,74,"no"
"358","yes","adult","cool","normal","pale pink","<3","intermittent severe pain","hypermotile","none","none","none","absent","distended large intestine","euthanized",36.6,48,16,27,56,"yes"
"41","no","young","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",39,150,72,47,8.5,"yes"
"110","yes","adult","cool","absent","bright red",">=3","depressed","hypomotile","slight","slight","none","absent","distended large intestine","died",34.4549804381992,70,16,60,7.5,"yes"
"19","no","adult","cold","reduced","dark cyanotic","<3","intermittent mild pain","hypomotile","moderate","slight","none","absent","distended large intestine","lived",39.4,110,35,55,8.7,"no"
"43","yes","adult","cool","absent","pale cyanotic","<3","intermittent severe pain","absent","severe","none","none","absent","distended large intestine","euthanized",61.5521413160824,120,46.5248984986733,52,67,"yes"
"69","no","adult","normal","normal","normal pink","<3","alert no pain","hypomotile","none","none","none","decreased","other","lived",38,48,12,42,6.3,"no"
"120","yes","adult","normal","normal","bright pink","<3","depressed","hypomotile","slight","none","none","decreased","distended small intestine","lived",39.4,54,66,39,6,"yes"
"39","yes","young","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","died",39.2,146,96,67.853468499232,-99.1655822706188,"yes"
"171","no","adult","cool","reduced","bright red","<3","intermittent mild pain","hypomotile","moderate","slight",">1l","absent","distended large intestine","died",39,86,16,68,5.8,"yes"
"24","yes","adult","cool","reduced","pale pink","<3","intermittent mild pain","absent","moderate","significant",">1l","absent","distended large intestine","lived",38.1,60,12,51,65,"yes"
"247","yes","adult","cool","reduced","pale cyanotic","<3","continuous severe pain","absent","moderate","slight","none","decreased","distended small intestine","died",38.1,88,24,41,4.6,"yes"
"197","no","adult","cool","reduced","normal pink",">=3","depressed","absent","slight","none",">1l","absent","distended large intestine","died",38.5,96,36,70,8.5,"yes"
"38","no","adult","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","none","none","normal","firm feces in large intestine","lived",38.6,52,24.2626582077142,32,6.6,"no"
"297","yes","adult","cold","reduced","pale cyanotic","<3","intermittent severe pain","absent","moderate","slight","none","decreased","distended large intestine","died",37.5,72,30,60,6.8,"yes"
"279","no","adult","cold","reduced","normal pink","<3","depressed","absent","moderate","slight",">1l","absent","distended large intestine","lived",38.2,56,40,47,7.2,"no"
"159","no","adult","normal","normal","bright pink","<3","depressed","hypermotile","slight","significant","none","normal","firm feces in large intestine","lived",27.6959997947129,58.5063713299946,12,44,7.5,"no"
"13","no","young","normal","normal","bright pink","<3","alert no pain","hypomotile","slight","significant","none","normal","normal","died",38,92,28,37,6.1,"no"
"129","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",38.4,49,25.1209014080863,44,7.6,"yes"
"44","yes","adult","cool","reduced","pale cyanotic",">=3","intermittent severe pain","absent","none","slight","none","absent","distended large intestine","euthanized",35.4,140,24,57,69,"yes"
"21","no","adult","normal","normal","normal pink","<3","alert no pain","hypomotile","none","slight","<1l","absent","firm feces in large intestine","lived",38.4,48,16,49,6.8,"no"
"205","no","adult","cool","reduced","bright red",">=3","intermittent severe pain","hypomotile","severe","slight","none","absent","distended large intestine","euthanized",38.5,100,43.5337912733834,48.5602523559213,-40.1605848992904,"no"
"229","yes","young","cool","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","normal","distended large intestine","lived",38.5,120,70,35,54,"yes"
"192","yes","adult","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","none",">1l","absent","distended large intestine","lived",38.2,48,18,48,74,"yes"
"103","yes","young","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","slight","none","increased","normal","lived",38,140,68,39,5.3,"yes"
"254","yes","adult","cool","reduced","pale pink","<3","intermittent severe pain","absent","severe","slight","none","absent","distended large intestine","lived",47.2313910425989,80,31.5689747086784,43,70,"yes"
"321","yes","adult","cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","moderate","slight","none","absent","distended small intestine","lived",38.3,80,34.3703091735241,45,7.5,"yes"
"102","no","adult","cool","normal","normal pink","<3","depressed","hypomotile","none","slight","none","absent","distended large intestine","lived",38.3,40,16,37,57,"no"
"12","yes","adult","warm","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","significant","none","absent","distended large intestine","lived",37.2,42,12,26.8219316391105,7,"no"
"295","yes","adult","cold","normal","pale cyanotic",">=3","depressed","absent","none","slight","none","absent","distended large intestine","euthanized",64.5922445113282,120,70,55,65,"no"
"351","yes","young","cold","absent","dark cyanotic","<3","intermittent mild pain","hypomotile","moderate","slight","none","normal","distended large intestine","died",38.2,78,60,59,5.8,"yes"
