"","Sex","Married","BankCustomer","EducationLevel","Ethicity","PriorDefault","Employed","Driverslicense","Citizen","Age","Debt","Years_employed","CreditScore","Zipcode","Income","class"
"345","b","u","g","e","z","f","f","f","g",62.75,7,0,0,0,12,"-"
"689","b","u","g","c","h","f","f","t","g",35,3.375,8.29,0,0,0,"-"
"673","b","y","p","e","h","f","f","f","g",29.5,2,2,0,256,17,"-"
"55","b","y","p","w","v","t","f","t","g",23.33,11.625,0.835,0,160,300,"+"
"24","a","u","g","q","v","t","t","t","g",41.17,6.5,0.5,3,145,0,"+"
"80","b","u","g","ff","ff","t","t","f","g",49.58,19,0,1,94,0,"-"
"471","b","y","p","i","h","f","f","f","g",21.08,4.125,0.04,0,140,100,"-"
"328","b","y","p","w","v","f","f","f","s",34.83,2.5,3,0,200,0,"-"
"493","a","u","g","c","h","t","f","f","g",20.5,11.835,6,0,340,0,"+"
"682","b","u","g","i","v","f","f","t","g",17.08,3.29,0.335,0,140,2,"-"
"479","b","y","p","c","v","f","f","f","s",26.5,2.71,0.085,0,80,0,"-"
"103","b","u","g","k","v","t","t","t","g",25,12,2.25,2,120,5,"-"
"2","a","u","g","q","h","t","f","f","g",24.5,0.5,1.5,0,280,824,"+"
"178","a","u","g","q","v","t","t","f","g",18.42,9.25,1.21,4,60,540,"+"
"658","a","u","g","c","v","f","f","f","g",15.75,0.375,1,0,120,18,"-"
"160","b","u","g","x","h","t","t","f","g",27.67,2,1,4,140,7544,"+"
"383","a","y","p","ff","ff","f","f","t","g",56.83,4.25,5,0,0,4,"-"
"435","b","y","p","ff","ff","f","t","f","g",19,0,0,4,45,1,"-"
"126","b","u","g","m","bb","t","t","t","g",47.67,2.5,2.5,12,410,2510,"+"
"259","a","y","p","c","v","f","f","f","g",24.5,1.75,0.165,0,132,0,"-"
"59","b","u","g","q","h","t","t","f","g",43.25,3,6,11,80,0,"+"
"447","a","u","g","ff","ff","f","f","f","g",27.33,1.665,0,0,340,1,"-"
"487","b","y","p","aa","v","f","f","t","g",24.5,13.335,0.04,0,120,475,"-"
"180","b","u","g","c","bb","t","t","f","g",47.67,0.29,15,20,0,15000,"+"
"509","b","y","p","w","v","t","t","t","g",21,4.79,2.25,1,80,300,"+"
"132","a","u","g","e","bb","t","t","f","g",47.42,8,6.5,6,375,51100,"+"
"617","b","y","p","ff","ff","f","t","f","g",32.25,14,0,2,160,1,"-"
"427","b","u","g","e","v","f","f","f","g",37.5,0.835,0.04,0,120,5,"-"
"546","b","y","p","w","v","t","t","t","g",23.58,0.46,2.625,6,208,347,"-"
"376","b","u","g","d","v","f","f","f","g",28.67,14.5,0.125,0,0,286,"-"
"278","b","y","p","ff","ff","f","f","f","g",24.58,13.5,0,0,-11.80619037509,0,"-"
"290","b","u","g","m","v","f","f","t","s",23,0.75,0.5,0,320,0,"-"
"374","b","u","g","aa","v","f","f","f","g",28.17,0.585,0.04,0,260,1004,"-"
"610","b","y","p","k","v","f","f","f","g",20,1.25,0.125,0,140,4,"-"
"147","a","y","p","q","h","t","t","f","g",40.33,7.54,8,14,0,2300,"+"
"149","a","u","g","c","v","t","t","f","g",52.83,15,5.5,14,0,2200,"+"
"120","b","u","g","q","v","t","t","f","g",39.92,6.21,0.04,1,200,300,"+"
"168","b","u","g","q","h","t","f","t","g",36.67,3.25,9,0,102,639,"+"
"597","a","u","g","aa","v","t","t","f","g",21.5,6,2.5,3,80,918,"+"
"466","b","u","g","c","v","f","t","t","g",31.08,3.085,2.5,2,160,41,"-"
"107","a","y","p","aa","v","t","f","f","g",25,11,4.5,0,120,0,"-"
"529","b","u","g","q","h","t","t","f","g",43.25,25.21,0.21,1,760,90,"-"
"555","b","u","g","c","h","t","t","f","g",41.92,0.42,0.21,6,220,948,"+"
"422","b","u","g","w","v","f","f","f","g",29.42,1.25,1.75,0,200,0,"-"
"90","b","y","p","c","h","t","f","f","g",62.5,12.75,5,0,112,0,"-"
"163","b","y","p","e","h","t","f","t","g",32,1.75,0.04,0,393,0,"+"
"543","b","u","g","w","v","t","f","t","g",36.33,3.79,1.165,0,200,0,"-"
"478","b","u","g","i","v","f","f","f","g",22.75,11.5,0.415,0,0,0,"-"
"50","a","u","g","c","h","t","f","t","g",25.75,0.5,0.875,0,491,0,"+"
"118","b","u","g","m","v","t","t","t","g",57.83,7.04,14,6,360,1332,"+"
"464","a","u","g","j","j","f","t","f","g",23,1.835,0,1,200,53,"-"
"228","b","u","g","q","v","t","t","t","g",19.67,0.375,2,2,80,0,"+"
"641","b","y","p","cc","v","f","f","t","g",33.17,2.25,3.5,0,200,141,"-"
"380","b","u","g","i","bb","f","f","t","g",43.17,5,2.25,0,141,0,"-"
"672","a","u","g","aa","v","f","f","t","g",50.25,0.835,0.5,0,240,117,"-"
"88","b","u","g","aa","v","t","f","t","g",34,4.5,1,0,240,0,"-"
"532","b","u","g","i","bb","t","f","f","g",43.17,2.25,0.75,0,560,0,"-"
"590","b","u","g","cc","v","t","t","f","g",30.17,6.5,3.125,8,330,1200,"+"
"356","b","u","g","d","v","f","f","f","g",41.17,1.335,0.165,0,168,0,"-"
"683","b","y","p","d","v","f","f","f","g",36.42,0.75,0.585,0,240,3,"-"
"70","b","u","g","e","bb","t","f","t","s",32.33,7.5,1.585,0,420,0,"-"
"687","a","y","p","ff","ff","f","t","t","g",25.25,13.5,2,1,200,1,"-"
"314","b","y","p","aa","v","f","f","f","g",16.25,0,0.25,0,60,0,"-"
"218","b","u","g","e","v","t","t","f","g",53.92,9.625,8.665,5,0,0,"+"
"413","b","u","g","i","bb","f","f","f","s",40.58,1.5,0,0,300,0,"-"
"492","b","u","g","m","v","t","t","f","g",39.25,9.5,6.5,14,240,4607,"+"
"569","a","u","g","aa","v","t","t","f","g",35.75,0.915,0.75,4,0,1583,"+"
"270","b","u","g","c","v","f","f","f","p",37.58,0,0,0,-8.22253687186134,0,"+"
"545","b","y","p","d","v","t","f","f","s",44.25,11,1.5,0,0,0,"-"
"512","a","u","g","c","v","t","f","f","g",44.33,0,2.5,0,0,0,"+"
"573","a","u","g","ff","ff","t","t","t","g",65.17,14,0,11,0,1400,"+"
"116","b","u","g","q","h","t","t","t","g",37.75,7,11.5,7,300,5,"-"
"473","b","y","p","i","v","f","f","t","g",19.17,4,1,0,360,1000,"-"
"167","a","u","g","cc","v","t","f","f","g",32.33,0.54,0.04,0,440,11177,"+"
"40","b","u","g","c","v","t","t","t","g",34.17,9.17,4.5,12,0,221,"+"
"391","b","u","g","i","bb","f","f","f","g",39.92,5,0.21,0,550,0,"-"
"280","b","y","p","c","h","f","f","f","g",21.17,0.875,0.25,0,280,204,"-"
"4","b","u","g","w","v","t","f","f","s",20.17,5.625,1.71,0,120,0,"+"
"329","b","y","p","i","v","f","f","t","g",34.5253751283948,4,0.085,0,411,0,"-"
"491","b","u","g","q","v","t","t","t","g",24.17,0.875,4.625,2,520,2000,"+"
