"","cost.of.living.adjustment","pension","education.allowance","vacation","longterm.disability.assistance","contribution.to.dental.plan","bereavement.assistance","contribution.to.health.plan","class","duration","wage.increase.first.year","wage.increase.second.year","wage.increase.third.year","working.hours","standby.pay","shift.differential","statutory.holidays"
"56","none","empl_contr","yes","generous","yes","full","yes","full","good",3,6,6,4,35,9.70298660005643,14,9
"3","tc","empl_contr","yes","generous","yes","full","yes","full","good",3,3.7,4,5,22.5581109132265,-5.07286418815531,-17.0894264597015,7.8441264336767
"38","none","empl_contr","yes","average","yes","full","yes","none","bad",3,2,2.5,2,37,7.93467845729674,9.35251542425612,10
"0","none","empl_contr","yes","average","yes","full","yes","full","good",1,5,4.30820103621739,3.7041245527931,40,5.07897468053829,2,11
"33","none","none","no","below_average","no","none","yes","none","bad",2,4,5,3.58557920506808,40,5.51792508007189,3,10
"22","tcf","empl_contr","yes","generous","yes","full","yes","full","good",3,3.5,4,4.6,27,0.380195921194928,-5.73917895658338,8.5486658186878
"42","tc","empl_contr","yes","average","yes","full","yes","full","bad",2,2.5,2.5,3.50763997142977,39,5.46133822576965,3.13966092658946,12
"13","tcf","empl_contr","yes","generous","yes","full","yes","full","good",3,3.5,4,5.1,37,5.59996314643731,4,13
"17","tc","ret_allw","no","below_average","yes","half","yes","none","bad",1,2.1,4.18863462871899,3.60053638158113,40,2,3,9
"32","none","empl_contr","yes","average","yes","full","yes","full","bad",2,2.5,2.5,2.78310170180465,38,8.17636182934186,9.67331039053465,10
"20","none","empl_contr","yes","generous","yes","full","yes","full","good",2,4.3,4.4,3.38527480603724,38,5.74754407774974,4,12
"46","none","empl_contr","yes","average","yes","full","yes","full","good",2,4.5,4,3.43364471281197,40,6.38997091882948,5,11
"41","none","empl_contr","yes","generous","yes","none","yes","full","bad",2,2,3,3.43994482399419,38,5.27061808459557,2.91961816626713,12
"9","none","empl_contr","yes","generous","yes","full","yes","full","good",1,5.7,4.26005082553655,3.53512338500769,40,5.94373790159155,4,11
"6","tc","empl_contr","yes","generous","yes","none","yes","half","good",3,4,5,5,33.3534911342794,-7.73709174693871,-25.8103419396963,12
"8","none","empl_contr","yes","below_average","yes","half","yes","full","good",2,3,7,1.57486142242357,38,12,25,11
"14","none","empl_contr","no","generous","yes","full","yes","full","good",1,3,3.66367860858884,2.61762908625961,36,8.16366957008115,10,11
"45","none","empl_contr","no","below_average","no","half","yes","half","bad",2,4.5,4,3.66894787891996,40,5.07901197935405,2,10
"36","tc","ret_allw","no","generous","no","none","no","none","bad",1,2,4.32965890650252,3.84819476825685,40,4,0,11
"24","none","empl_contr","yes","generous","yes","full","yes","full","good",1,6,4.0270624645058,3.32493483037934,38,8,3,9
"54","none","empl_contr","yes","generous","yes","full","yes","full","good",3,5,4.4,3.10821797315548,38,10,6,11
"52","tcf","empl_contr","yes","generous","yes","full","yes","full","good",3,3.5,4,4.5,35,-0.673744771731604,-10.1228373333752,13
"37","none","empl_contr","no","below_average","yes","half","yes","none","bad",1,2.8,3.9988103582659,3.43145996443301,38,2,3,9
"40","none","none","yes","average","no","none","no","none","bad",1,4,4.01516068751568,5.20414157106848,29.450167497797,-7.91898566344937,-25.2839228249255,11
"47","tcf","empl_contr","yes","generous","yes","half","yes","half","good",2,4.6,4.6,2.538040107455,38,9.71022983935661,13.0335831573699,10.5964426507369
"19","tcf","empl_contr","yes","generous","yes","full","yes","full","good",2,4,5,2.96123043348881,35,13,5,15
