"","grain_screened","proof_on_ctd_ink","paper_type","ink_type","solvent_type","type_on_cylinder","press_type","press","cylinder_size","paper_mill_location","plating_tank","band_type","unit_number","proof_cut","viscosity","ink_temperature","humifity","roughness","blade_pressure","varnish_pct","press_speed","ink_pct","solvent_pct","ESA_Voltage","ESA_Amperage","wax","hardener","roller_durometer","current_density","anode_space_ratio","chrome_content"
"414","3","3","4","3","1","1","4","816","3","3","1910","noband",9,35,42,15.5,80,1,26,0,1800,62.5,37.5,3,0,2.5,2,40,5,100,3
"462","2","3","2","1","1","1","4","815","2","3","1910","band",2,45,61,14,98,0.75,30,0,1600,58.8,41.2,2,0,2.4,0.9,30,5,100,3
"178","3","3","4","3","1","2","2","813","2","3","1910","band",1,50,48,13,80,1,30.4567683217489,18.9,1700,47.2,34,0,0,2.7,0.6,40,2,100,3
"525","2","3","2","1","1","2","1","815","2","3","1911","band",2,47.2273125594589,56,14,91,1.125,27,6.42879934957962,1650,57.0571898380844,39.5306616181422,1.0857454004868,0.0426878990020123,3,1.5,36.8569440032738,5,100,2
"194","2","3","2","1","1","2","3","827","4","1","1910","noband",2,45,55,15,75,0.75,25,0,2300,59.8,40.2,0,0,2,2.3,30,2,96.6,3
"117","3","3","4","3","1","2","2","813","2","3","1910","noband",1,50,52,15.6,71,0.75,30.6635774019911,20.6,1700,46.7,32.7,0,0,2.5,0.6,40,5,106.66,3
"298","2","3","2","1","1","2","3","828","4","1","1910","noband",10,57,57,14.2,78,1,30,10.5,2400,52.6,36.8,0,0,2.5,1,33,5,93.75,3
"228","2","3","2","1","1","2","4","815","2","1","1910","noband",2,41.8106435154585,60,15,78,0.625,34,15,1750,50,35,0,0,2.5,1,33,4.34386349851133,96.5439827628671,3
"243","3","3","4","3","1","2","1","802","2","3","1911","noband",7,30,56,16,70,0.682596036874952,60,21.8,1400,45.4,32.8,0,0,3,0.9,40,5,96.8,3
"13","3","3","4","3","1","2","3","821","4","3","1911","band",7,40,45,14.5,70,0.625,25,0,1500,59.5,40.5,0,0,2,1,40,5,100,3
"373","2","3","4","1","1","1","3","828","4","3","1910","noband",9,50,43,15.5,72,0.75,30,5.1,2200,50.6,44.3,0,0,2.5,1.3,35,5,96.77,3
"90","2","3","2","1","1","2","3","828","4","3","1911","noband",2,40,49,15.3,74,1,34,0,2000,62.5,37.5,0,0,2.2,1,35,5,100,3
"347","2","3","2","1","1","1","3","827","4","1","1911","noband",2,30,53,14,85,0.75,30,15,2290,50,35,0,0,2,1.5,33,5,110.7,3
"354","3","3","4","3","1","1","3","828","4","3","1910","noband",9,65,42,17.5,100,1.125,25,17.5,2250,48.5,34,0,0,2.5,1,40,5,100,3
"25","2","3","2","1","1","2","3","827","4","4","1911","band",9,45,42,14,70,1,20,8,1850,57.5,34.5,0,0,2,0.7,35,5,107.4,3
"518","2","3","3","2","1","2","1","815","2","3","1911","band",2,45.7041298115724,40,16.5,84,0.625,26,6.26160262573318,1565,55.0394222024849,38.1318174366991,1.00741698596666,0.0424378520618767,2.5,1,35.6992910587182,5,106.6,2
"425","2","3","2","1","1","2","3","828","4","1","1910","noband",2,45,41,16.1,74,1,30,0,1800,62.5,37.5,1,0,2.5,1.2,30,5,106.45,3
"210","3","3","4","3","1","1","1","802","2","3","1910","band",2,50,56,14.3,105,0.75,70,0,1600,55.5,44.5,0,0,3,1,45,3,100,3
"372","2","3","4","1","1","1","3","828","4","3","1910","noband",2,45,43,16,80,0.75,30,3.1,2200,51,45.9,0,0,2.5,1.3,35,5,103.33,3
"142","2","3","4","1","1","2","3","827","4","1","1911","noband",9,37,70,15,65,0.75,25,5.4,1500,54.3,40.2,0,0,2.3,0.9,40,5,106.66,3
"489","2","3","2","1","1","2","3","824","4","3","1910","band",9,35,42,15,78,0.5625,40,5.57956408904177,1750,53.5550173575109,37.110948235347,1.32091887187461,0.0305476243245597,2.3,1,33.4930194265576,5,103,3
"22","2","3","2","1","1","2","3","824","4","1","1911","noband",2,30,43,16.3,70,0.8125,25,1.2,2200,58.1,40.7,4,0,2,1,30,5,96.875,3
"308","2","3","2","1","1","2","4","815","3","1","1910","band",1,35,72,15.2,72,1,36,0,2200,65.2,34.8,0,0,2.5,1,30,5,93.6,1
"134","3","3","4","3","1","1","3","821","4","3","1911","noband",2,55,45,15.5,79,0.625,20,16.7,1850,54.3,34.3,4,0,2.5,1,34,5,100,3
"223","3","3","4","3","1","2","2","813","2","2","1910","noband",6,50,53,16.5,90,0.75,31.8501145688405,11.3,1300,51.5,37.1,0,0,2.5,0.7,28,3,100,3
"165","2","3","4","1","1","2","3","824","4","1","1910","band",9,40,64,16.5,82,0.5625,30,2.3,1900,57.5,40.2,0,0,1.3,0.8,30,5,106.45,3
"216","2","3","2","1","1","2","3","824","4","1","1910","noband",9,30,51,16,76,0.875,25,19.1,2250,42.7,38.2,3,0,1.2,0.5,30,3,103.3,3
"289","2","3","2","1","1","2","3","821","4","3","1910","noband",2,30,54,16.8,71,0.75,25,18,2000,45,36.9,0,0,2.5,0.9,35,3,106.9,3
"476","3","3","4","3","1","1","1","802","2","3","1911","band",2,40,65,15,80,0.625,50,10.4,1640,47.2,42.4,1,0,3,1.5,32,5,103.13,3
"68","2","3","2","1","1","2","3","828","4","1","1910","noband",9,35,39,16.2,84,1,30,0,2100,62.5,37.5,4,0,2,0.9,30,5,94.117,3
"71","2","3","4","3","1","2","4","816","2","3","1910","noband",2,67,45,15.5,80,0.5,34,16.3,1683,43.5,40.2,6,0,2.5,1,40,5,109.67,3
"75","2","3","2","3","1","2","2","813","2","3","1910","noband",10,35,45,15.2,63,1,30.0707364587676,0,1500,59.5,40.5,0,0,2.3,0.9,40,5,109.67,3
"62","3","3","4","3","1","2","3","827","4","5","1910","noband",9,40,39,15,79,0.75,20,11.8,2000,49,39.2,0,0,2.5,1,40,5,103.22,3
"140","2","3","2","1","1","2","3","824","4","1","1910","noband",9,45,54,15.5,74,0.5625,40,10.5,2250,52.6,36.8,2,0,2.5,1.8,30,5,106.45,3
"209","3","3","4","2","1","1","3","821","4","3","1910","band",7,52,62,14.5,95,0.75,20,0,1950,58.8,41.2,0,0,2,1,38,3,100,3
"352","3","3","4","3","1","2","3","821","4","3","1910","band",7,52,43,15,71,0.75,28,7.4,1500,53.2,39.4,0,0,2.5,1,34,5,98.3,3
"346","2","3","2","3","1","2","4","816","3","3","1911","noband",2,40,50,13,74,0.25,25,0,2500,58.8,41.2,2,0,2.5,0.5,30,5,114.29,3
"152","3","3","4","3","1","2","2","813","2","3","1910","band",1,50,68,13.4,70,0.732113721616151,31.4926339175646,20.4,1700,46.3,33.3,0,0,2.5,1,40,5,106.45,3
"293","3","3","4","3","1","2","2","813","2","3","1910","noband",1,45,56,15.5,78,0.75,30.62294602697,11.1,1350,55.5,33.3,0,0,2.2,0.9,28,3,100,3
"276","2","3","2","1","1","1","4","816","4","3","1910","band",2,35,55,15,70,0.5,35,0,2000,58.8,41.2,0,0,2.5,1.5,30,3,100,3
