"","x"
"1",24388
"2",43307
"3",4050
"4",11571
"5",25173
"6",32618
"7",13903
"8",8229
"9",25305
"10",25061
"11",22306
"12",39294
"13",12204
"14",43809
"15",7075
"16",26954
"17",42406
"18",36244
"19",31276
"20",45399
"21",16044
"22",6519
"23",33990
"24",26663
"25",19242
"26",21784
"27",16910
"28",21875
"29",25559
"30",21323
"31",13284
"32",7976
"33",9392
"34",3863
"35",26876
"36",39645
"37",23148
"38",13973
"39",31334
"40",39241
"41",28278
"42",858
"43",6763
"44",41950
"45",32480
"46",11367
"47",29747
"48",13602
"49",39041
"50",5051
"51",42127
"52",39197
"53",34474
"54",33269
"55",39423
"56",16920
"57",29660
"58",36515
"59",29697
"60",11854
"61",4934
"62",13940
"63",27075
"64",21987
"65",22126
"66",25649
"67",12535
"68",32987
"69",12399
"70",35891
"71",25488
"72",38704
"73",14330
"74",17626
"75",33986
"76",8465
"77",6563
"78",20205
"79",22281
"80",10844
"81",33432
"82",33487
"83",3045
"84",8615
"85",41381
"86",45196
"87",36366
"88",29670
"89",37904
"90",9346
"91",13824
"92",8696
"93",39557
"94",7131
"95",32671
"96",20785
"97",10816
"98",11114
"99",7146
"100",11096
"101",12597
"102",11878
"103",34558
"104",24450
"105",9086
"106",10148
"107",14504
"108",8613
"109",21432
"110",44660
"111",7793
"112",6217
"113",30249
"114",26244
"115",12669
"116",32441
"117",23193
"118",40942
"119",20480
"120",45883
"121",23836
"122",10271
"123",11564
"124",25186
"125",17649
"126",11260
"127",4182
"128",27416
"129",18540
"130",5390
"131",30929
"132",21842
"133",18144
"134",30407
"135",36843
"136",15104
"137",27540
"138",32331
"139",36980
"140",15782
"141",9413
"142",33230
"143",22827
"144",20433
"145",9690
"146",12129
"147",23423
"148",31184
"149",20189
"150",33734
"151",9383
"152",26593
"153",4749
"154",35250
"155",3418
"156",19268
"157",39961
"158",27729
"159",4590
"160",29001
"161",11158
"162",43112
"163",4257
"164",31156
"165",28932
"166",10688
"167",45237
"168",26028
"169",15737
"170",28573
"171",45347
"172",10185
"173",32916
"174",121
"175",8790
"176",10770
"177",30119
"178",33883
"179",3616
"180",45107
"181",43473
"182",34905
"183",30613
"184",12284
"185",35520
"186",41806
"187",8411
"188",1926
"189",18197
"190",2833
"191",22078
"192",40749
"193",21545
"194",7560
"195",24857
"196",37498
"197",25068
"198",3255
"199",8706
"200",45626
"201",42213
"202",27417
"203",6186
"204",34427
"205",26757
"206",2312
"207",27219
"208",34607
"209",15923
"210",42726
"211",42504
"212",32445
"213",29524
"214",25818
"215",6990
"216",22687
"217",35311
"218",26594
"219",22298
"220",3760
"221",13936
"222",8945
"223",40703
"224",41608
"225",24307
"226",20702
"227",4254
"228",43782
"229",19772
"230",13238
"231",14722
"232",25715
"233",6236
"234",38540
"235",40858
"236",38531
"237",13071
"238",44002
"239",34227
"240",34544
"241",27524
"242",8090
"243",18133
"244",33786
"245",33151
"246",27925
"247",33252
"248",39217
"249",36655
"250",10992
"251",31032
"252",44340
"253",4801
"254",34789
"255",30811
"256",28276
"257",9606
"258",39558
"259",37899
"260",3382
"261",35925
"262",3328
"263",19510
"264",2796
"265",35543
"266",17785
"267",25011
"268",44290
"269",8426
"270",12603
"271",14755
"272",29389
"273",10370
"274",13510
"275",10807
"276",28081
"277",30965
"278",10841
"279",19159
"280",2992
"281",3797
"282",22463
"283",40977
"284",33825
"285",22824
"286",2257
"287",44375
"288",2079
