"","Dataset","Method","Score"
"1","0","median","0.75"
"2","1018","median","0.975"
"3","1018","irmi","0.975"
"4","1018","mice","0.975"
"5","1018","forest","0.975"
"6","1590","median","0.775"
"7","1590","irmi","0.85"
"8","1590","mice","0.875"
"9","1590","forest","0.85"
"10","1590","mda","0.775"
"11","188","median","0.9"
"12","188","irmi","0.9"
"13","188","mice","0.9"
"14","188","forest","0.9"
"15","188","mda","0.9"
"16","23381","median","0.55"
"17","23381","irmi","0.575"
"18","23381","mice","0.525"
"19","23381","forest","0.525"
"20","23381","mda","0.625"
"21","38","median","0.975"
"22","38","irmi","0.975"
"23","38","mice","0.95"
"24","38","forest","0.975"
"25","55","median","0.875"
"26","56","median","1"
"27","56","irmi","1"
"28","56","mice","0.975"
"29","56","forest","1"
"30","6332","median","0.825"
"31","6332","irmi","0.825"
"32","6332","mice","0.825"
"33","6332","forest","0.825"
"34","944","median","0.55"
