"","dataset","method","algorithm","F1","acc"
"1","1018","median","log_reg","0.0181818181818182","0.938948558507631"
"2","1018","median","svm","0.156626506024096","0.841718485019785"
"3","1018","median","rf","0.0347826086956522","0.937252685132843"
"4","1018","softimpute","xgb","0.229551451187335","0.917455830388693"
"5","1018","softimpute","log_reg","0.0340425531914894","0.93583038869258"
"6","1018","softimpute","svm","0.142755174875089","0.830247349823322"
"7","1018","softimpute","rf","0.153846153846154","0.939363957597173"
"8","1590","median","xgb","0.907352752470166","0.852185484696489"
"9","1590","median","log_reg","0.899751132665433","0.839185177602621"
"10","1590","median","svm","0.788600891861761","0.689425734466169"
"11","1590","median","rf","0.90771110682359","0.853106766301566"
"12","1590","softimpute","xgb","0.906885330412089","0.852071763110076"
"13","1590","softimpute","log_reg","0.901716916584071","0.842653494740614"
"14","1590","softimpute","svm","0.788501170142163","0.690067309907097"
"15","1590","softimpute","rf","0.911173476047513","0.860671051621324"
"16","1590","missmda","xgb","0.906459223362877","0.849831098372402"
"17","1590","missmda","log_reg","0.900510204081633","0.840311188453271"
"18","1590","missmda","svm","0.786612632755729","0.687378442010441"
"19","1590","missmda","rf","0.90523738967983","0.849421639881257"
"20","188","median","xgb","0.883435582822086","0.871621621621622"
"21","188","median","log_reg","0.895705521472393","0.885135135135135"
"22","188","median","svm","0.814432989690722","0.756756756756757"
"23","188","median","rf","0.810457516339869","0.804054054054054"
"24","188","softimpute","xgb","0.841791044776119","0.819727891156463"
"25","188","softimpute","log_reg","0.922619047619048","0.91156462585034"
"26","188","softimpute","svm","0.998518518518519","0.998299319727891"
"27","188","softimpute","rf","0.974664679582712","0.97108843537415"
"28","188","missmda","xgb","0.773333333333333","0.77027027027027"
"29","188","missmda","log_reg","0.815789473684211","0.810810810810811"
"30","188","missmda","svm","0.822916666666667","0.77027027027027"
"31","188","missmda","rf","0.815789473684211","0.810810810810811"
"32","23381","median","xgb","0.75177304964539","0.65"
"33","23381","median","log_reg","0.769230769230769","0.67"
"34","23381","median","svm","0.763157894736842","0.64"
"35","23381","median","rf","0.683760683760684","0.63"
"36","23381","missmda","xgb","0.746666666666667","0.62"
"37","23381","missmda","log_reg","0.779220779220779","0.66"
"38","23381","missmda","svm","0.773006134969325","0.63"
"39","23381","missmda","rf","0.794871794871795","0.68"
"40","27","median","xgb","0.655172413793103","0.72972972972973"
"41","27","median","log_reg","0.622222222222222","0.77027027027027"
"42","27","median","svm","NaN","0.702702702702703"
"43","27","median","rf","0.682926829268293","0.824324324324324"
"44","27","softimpute","xgb","0.441860465116279","0.673469387755102"
"45","27","softimpute","log_reg","0.794392523364486","0.850340136054422"
"46","27","softimpute","svm","NaN","0.612244897959184"
"47","27","softimpute","rf","0.821917808219178","0.86734693877551"
"48","27","missmda","xgb","0.536585365853659","0.743243243243243"
