"","dataset","method","algorithm","F1","acc"
"1",188,"softimpute","xgb",0.825806451612903,0.817567567567568
"2",188,"softimpute","log_reg",0.902439024390244,0.891891891891892
"3",188,"softimpute","svm",0.906832298136646,0.898648648648649
"4",188,"softimpute","rf",0.858974358974359,0.851351351351351
"5",188,"missmda","xgb",0.855345911949686,0.844594594594595
"6",188,"missmda","log_reg",0.833333333333333,0.824324324324324
"7",188,"missmda","svm",0.853333333333333,0.851351351351351
"8",188,"missmda","rf",0.834437086092715,0.831081081081081
"9",23381,"missmda","xgb",0.751592356687898,0.61
"10",23381,"missmda","log_reg",0.767123287671233,0.66
"11",23381,"missmda","svm",0.736111111111111,0.62
"12",23381,"missmda","rf",0.780821917808219,0.68
"13",27,"softimpute","xgb",0.636363636363636,0.783783783783784
"14",27,"softimpute","log_reg",0.723404255319149,0.824324324324324
"15",27,"softimpute","svm",0.790697674418605,0.878378378378378
"16",27,"softimpute","rf",0.765957446808511,0.851351351351351
"17",27,"missmda","xgb",0.666666666666667,0.756756756756757
"18",27,"missmda","log_reg",0.727272727272727,0.837837837837838
"19",27,"missmda","svm",0.739130434782609,0.837837837837838
"20",27,"missmda","rf",0.755555555555556,0.851351351351351
"21",29,"softimpute","xgb",0.882758620689655,0.876811594202899
"22",29,"softimpute","log_reg",0.891891891891892,0.884057971014493
"23",29,"softimpute","svm",0.89041095890411,0.884057971014493
"24",29,"softimpute","rf",0.876712328767123,0.869565217391304
"25",29,"missmda","xgb",0.874172185430464,0.86231884057971
"26",29,"missmda","log_reg",0.876712328767123,0.869565217391304
"27",29,"missmda","svm",0.857142857142857,0.855072463768116
"28",29,"missmda","rf",0.88,0.869565217391304
"29",38,"softimpute","xgb",0.987968860580326,0.977483443708609
"30",38,"softimpute","log_reg",0.973084886128364,0.948344370860927
"31",38,"softimpute","svm",0.977713874910137,0.958940397350993
"32",38,"softimpute","rf",0.99078667611623,0.982781456953642
"33",4,"softimpute","xgb",0.666666666666667,0.833333333333333
"34",4,"softimpute","log_reg",0.857142857142857,0.916666666666667
"35",4,"softimpute","svm",0.857142857142857,0.916666666666667
"36",4,"softimpute","rf",0.857142857142857,0.916666666666667
"37",40536,"softimpute","xgb",1,1
"38",40536,"softimpute","log_reg",1,1
"39",40536,"softimpute","svm",1,1
"40",40536,"softimpute","rf",1,1
"41",40536,"missmda","xgb",1,1
"42",40536,"missmda","log_reg",1,1
"43",40536,"missmda","svm",0.997858672376874,0.996420047732697
"44",40536,"missmda","rf",0.998216196931859,0.997016706443914
"45",55,"softimpute","xgb",0,0.870967741935484
"46",55,"softimpute","log_reg",0.5,0.870967741935484
"47",55,"softimpute","svm",0.666666666666667,0.935483870967742
"48",55,"softimpute","rf",0.571428571428572,0.903225806451613
"49",55,"missmda","xgb",0.25,0.806451612903226
"50",55,"missmda","log_reg",0.5,0.870967741935484
"51",55,"missmda","svm",0.571428571428572,0.903225806451613
"52",55,"missmda","rf",0.5,0.870967741935484
"53",56,"missmda","xgb",0.97029702970297,0.96551724137931
"54",56,"missmda","log_reg",0.95049504950495,0.942528735632184
"55",56,"missmda","svm",0.97029702970297,0.96551724137931
"56",56,"missmda","rf",0.97029702970297,0.96551724137931
"57",6332,"softimpute","xgb",0.48780487804878,0.611111111111111
"58",6332,"softimpute","log_reg",0.48780487804878,0.611111111111111
"59",6332,"softimpute","svm",0.746666666666667,0.824074074074074
"60",6332,"softimpute","rf",0.814814814814815,0.861111111111111
"61",6332,"missmda","xgb",0.586666666666667,0.712962962962963
"62",6332,"missmda","log_reg",0.578947368421053,0.703703703703704
"63",6332,"missmda","svm",0.701298701298701,0.787037037037037
"64",6332,"missmda","rf",0.72,0.805555555555556
"65",944,"softimpute","xgb",0.8125,0.769230769230769
"66",944,"softimpute","log_reg",0.774193548387097,0.730769230769231
"67",944,"softimpute","svm",0.8125,0.769230769230769
"68",944,"softimpute","rf",0.758620689655172,0.730769230769231
"69",944,"missmda","xgb",0.666666666666667,0.653846153846154
"70",944,"missmda","log_reg",0.774193548387097,0.730769230769231
"71",944,"missmda","svm",0.733333333333333,0.692307692307692
"72",944,"missmda","rf",0.733333333333333,0.692307692307692
"73",1018,"softimpute","xgb",0.110236220472441,0.936122102882985
"74",1018,"softimpute","log_reg",0.036036036036036,0.939513849632561
"75",1018,"softimpute","svm",0,0.939513849632561
"76",1018,"softimpute","rf",0,0.938948558507631
"77",1590,"softimpute","xgb",0.905143875732111,0.847476712048316
"78",1590,"softimpute","log_reg",0.901040345090079,0.840311188453271
"79",1590,"softimpute","svm",0.90505232072928,0.848602722898966
"80",1590,"softimpute","rf",0.911832946635731,0.859965196028253
"81",1590,"missmda","xgb",0.907907332950412,0.852287849319275
"82",1590,"missmda","log_reg",0.900706061955346,0.840208823830484
"83",1590,"missmda","svm",0.906193780519147,0.850547650731907
"84",1590,"missmda","rf",0.91178555319286,0.859862831405466
"85",41278,"softimpute","xgb",0.884467106081333,0.797647571335221
"86",41278,"softimpute","log_reg",0.887056683843589,0.797103027662819
"87",41278,"softimpute","svm",0.887203446392816,0.797538662600741
"88",41278,"softimpute","rf",0.887913446676971,0.802548464386844
"89",41278,"missmda","xgb",0.882546379599181,0.793835765628403
"90",41278,"missmda","log_reg",0.887042987934275,0.797103027662819
"91",41278,"missmda","svm",0.88794101517275,0.799716837290351
"92",41278,"missmda","rf",0.871601305098842,0.781420169897626
