"","Dataset","Method","Acc","Auc","Recall","Precision","Time"
"1","1018","median","0.939513849632561","0.5","1","0.939513849632561","0.0762941837310791"
"2","1018","irmi","0.938383267382702","0.836150567383065","0.994584837545126","0.942954934398175","0.0427131652832031"
"3","1018","mice","0.939513849632561","0.5","1","0.939513849632561","12.7460155487061"
"4","1018","forest","0.938383267382702","0.868717455604665","0.994584837545126","0.942954934398175","12.1072181860606"
"5","1590","median","0.840823011567202","0.84280578253136","0.946930001343544","0.858674463937622","0.0640799999237061"
"6","1590","irmi","0.840823011567202","0.84280578253136","0.946930001343544","0.858674463937622","0.0713248252868652"
"7","1590","mice","0.840823011567202","0.84280578253136","0.946930001343544","0.858674463937622","2.32074117660522"
"8","1590","forest","0.840823011567202","0.84280578253136","0.946930001343544","0.858674463937622","20.2433354258537"
"9","1590","MDA","0.840823011567202","0.84280578253136","0.946930001343544","0.858674463937622","7.75073734124502"
"10","1590","softImpute","0.840823011567202","0.84280578253136","0.946930001343544","0.858674463937622","0.225767374038696"
"11","188","median","0.77027027027027","0.881801470588235","0.838235294117647","0.7125","0.00847196578979492"
"12","188","irmi","0.878378378378378","0.925919117647059","0.867647058823529","0.867647058823529","0.00203394889831543"
"13","188","mice","0.837837837837838","0.901011029411765","0.779411764705882","0.854838709677419","0.270968914031982"
"14","188","forest","0.864864864864865","0.869117647058824","0.852941176470588","0.852941176470588","11.1928217411041"
"15","188","MDA","0.871621621621622","0.921507352941176","0.882352941176471","0.845070422535211","14.6796395778656"
"16","188","softImpute","0.837837837837838","0.874356617647059","0.808823529411765","0.833333333333333","0.0100381374359131"
"17","23381","median","0.66","0.605319605319605","0.746031746031746","0.723076923076923","0.0119080543518066"
"18","23381","irmi","0.62","0.620549120549121","0.746031746031746","0.681159420289855","0.00470709800720215"
"19","23381","mice","0.63","0.628700128700129","0.761904761904762","0.685714285714286","0.741352081298828"
"20","23381","forest","0.57","0.544401544401544","0.73015873015873","0.638888888888889","4.17500084241231"
"21","23381","MDA","0.61","0.664521664521665","0.666666666666667","0.7","3.29167413711548"
"22","27","median","0.824324324324324","0.798513986013986","0.826923076923077","0.914893617021277","0.0103652477264404"
"23","27","irmi","0.864864864864865","0.909090909090909","0.903846153846154","0.903846153846154","0.00435662269592285"
"24","27","mice","0.864864864864865","0.879370629370629","0.846153846153846","0.956521739130435","0.467047214508057"
"25","27","forest","0.77027027027027","0.886363636363636","0.711538461538462","0.948717948717949","9.13321399688721"
"26","38","median","0.982781456953642","0.946898306064635","0.997167138810198","0.984615384615385","0.020949125289917"
"27","38","irmi","0.981456953642384","0.986486095854773","0.991501416430595","0.988700564971751","0.028656005859375"
"28","38","mice","0.982781456953642","0.953098803260681","0.998583569405099","0.98326359832636","0.387708902359009"
"29","38","forest","0.984105960264901","0.986081401399087","0.992917847025496","0.990112994350282","4.65764944553375"
"30","4","median","0.75","0.611111111111111","0.333333333333333","0.5","0.020148754119873"
"31","4","irmi","0.75","0.611111111111111","0.333333333333333","0.5","0.00303435325622559"
"32","4","mice","0.75","0.611111111111111","0.333333333333333","0.5","0.254252672195435"
"33","4","forest","0.75","0.611111111111111","0.333333333333333","0.5","0.756412267684937"
"34","55","median","0.806451612903226","0.578703703703704","0.25","0.25","0.0133230686187744"
"35","55","irmi","0.774193548387097","0.791666666666667","0.75","0.333333333333333","0.00210809707641602"
"36","55","mice","0.903225806451613","0.837962962962963","0.75","0.6","0.249548196792603"
"37","55","forest","0.870967741935484","0.819444444444444","0.5","0.5","1.85671591758728"
"38","55","MDA","0.870967741935484","0.712962962962963","0.5","0.5","6.36156249046326"
"39","55","softImpute","0.838709677419355","0.782407407407407","0.25","0.333333333333333","0.0177955627441406"
"40","56","median","0.96551724137931","0.966503267973856","0.96078431372549","0.98","0.0105049610137939"
"41","56","irmi","0.96551724137931","0.966503267973856","0.96078431372549","0.98","0.00211405754089355"
"42","56","mice","0.977011494252874","0.974673202614379","0.980392156862745","0.980392156862745","0.318808555603027"
"43","56","forest","0.96551724137931","0.966503267973856","0.96078431372549","0.98","1.59915709495544"
"44","6332","median","0.722222222222222","0.705903398926655","0.558139534883721","0.685714285714286","0.0114734172821045"
"45","6332","irmi","0.722222222222222","0.705903398926655","0.558139534883721","0.685714285714286","0.00322937965393066"
"46","6332","mice","0.722222222222222","0.705903398926655","0.558139534883721","0.685714285714286","2.92486693064372"
"47","6332","forest","0.722222222222222","0.705903398926655","0.558139534883721","0.685714285714286","0.0133621692657471"
"48","6332","MDA","0.703703703703704","0.685688729874776","0.581395348837209","0.641025641025641","2.45663511753082"
"49","6332","softImpute","0.722222222222222","0.705903398926655","0.558139534883721","0.685714285714286","0.013817310333252"
"50","944","median","0.692307692307692","0.775147928994083","0.538461538461538","0.777777777777778","0.00461387634277344"
"51","944","irmi","0.692307692307692","0.775147928994083","0.538461538461538","0.777777777777778","0.00112366676330566"
"52","944","mice","0.692307692307692","0.775147928994083","0.538461538461538","0.777777777777778","0.0916531085968018"
"53","944","forest","0.692307692307692","0.792899408284024","0.692307692307692","0.692307692307692","0.518429756164551"
"54","944","MDA","0.538461538461538","0.532544378698225","0.461538461538462","0.545454545454545","3.75048685073853"
"55","944","softImpute","0.692307692307692","0.775147928994083","0.538461538461538","0.777777777777778","0.030369758605957"
